recording_givid	survey	user_reference	area	vague_date_begin	vague_date_end	latitude	longitude
IV2017021017402906	N2000meetnet_Grasland	6152326	9	2015-05-28	2015-05-28	50.97079982	4.79358517
IV2017021018002273	N2000meetnet_Grasland	1286278	1017	2015-06-25	2015-06-25	50.97471575	4.79902997
IV2017021018144986	N2000meetnet_Grasland	1286278	9	2015-06-25	2015-06-25	50.97471575	4.79902997
IV2017021310384624	N2000meetnet_Grasland	4975814	1017	2015-06-19	2015-06-19	50.92636047	4.54644471
IV2017021311152342	N2000meetnet_Grasland	4975814	9	2015-06-19	2015-06-19	50.92636047	4.54644471
IV2017021311505729	N2000meetnet_Grasland	4598982	1017	2015-06-19	2015-06-19	50.92627705	4.54053693
IV2017021312171588	N2000meetnet_Grasland	4598982	9	2015-06-19	2015-06-19	50.92627705	4.54053693
IV2017021312415166	N2000meetnet_Grasland	9087041	1017	2015-07-10	2015-07-10	51.11158174	3.2863887
IV2017021313081237	N2000meetnet_Grasland	9087041	9	2015-07-10	2015-07-10	51.11158174	3.2863887
IV2017021313300649	N2000meetnet_Grasland	2898758	1017	2015-06-12	2015-06-12	50.81499401	4.76171915
IV2017021314165316	N2000meetnet_Grasland	2898758	9	2015-06-12	2015-06-12	50.81499401	4.76171915
IV2017021314354987	N2000meetnet_Grasland	1022766	1017	2015-06-10	2015-06-10	51.36007694	5.02314369
IV2017021315595672	N2000meetnet_Grasland	1022766	9	2015-06-10	2015-06-10	51.36007694	5.02314369
IV2017021316192193	N2000meetnet_Grasland	1938478	1017	2015-07-08	2015-07-08	51.27738721	4.93880973
IV2017021316354132	N2000meetnet_Grasland	1938478	9	2015-07-08	2015-07-08	51.27738721	4.93880973
IV2017021316470293	N2000meetnet_Grasland	4851218	1017	2015-06-23	2015-06-23	51.21461645	5.53973271
IV2017021317143301	N2000meetnet_Grasland	4851218	9	2015-06-23	2015-06-23	51.21461645	5.53973271
IV2017021410455484	N2000meetnet_Grasland	3016210	1017	2015-06-23	2015-06-23	51.21343768	5.53814751
IV2017021411231990	N2000meetnet_Grasland	3016210	9	2015-06-23	2015-06-23	51.21343768	5.53814751
IV2017021413520341	N2000meetnet_Grasland	498886	1017	2016-08-25	2016-08-25	50.91703098	4.57509094
IV2017021414091295	N2000meetnet_Grasland	498886	9	2016-08-25	2016-08-25	50.91703098	4.57509094
IV2017021414213854	N2000meetnet_Grasland	654598	1017	2016-08-25	2016-08-25	50.78657279	4.60814206
IV2017021414350820	N2000meetnet_Grasland	654598	9	2016-08-25	2016-08-25	50.78657279	4.60814206
IV2017021414444810	N2000meetnet_Grasland	753630	1017	2016-09-19	2016-09-19	51.33991293	4.51407197
IV2017021415171476	N2000meetnet_Grasland	753630	9	2016-09-19	2016-09-19	51.33991293	4.51407197
IV2017021415415208	N2000meetnet_Grasland	979286	1017	2016-08-24	2016-08-24	51.02466685	4.85935992
IV2017021415534916	N2000meetnet_Grasland	1062930	1017	2016-07-28	2016-07-28	51.14392769	5.52726308
IV2017021415590760	N2000meetnet_Grasland	979286	9	2016-08-24	2016-08-24	51.02466685	4.85935992
IV2017021416061568	N2000meetnet_Grasland	1346134	1017	2016-08-24	2016-08-24	51.08773457	4.71338162
IV2017021416154407	N2000meetnet_Grasland	1062930	9	2016-07-28	2016-07-28	51.14392769	5.52726308
IV2017021416161173	N2000meetnet_Grasland	1346134	9	2016-08-24	2016-08-24	51.08773457	4.71338162
IV2017021416262329	N2000meetnet_Grasland	1474526	1017	2016-08-04	2016-08-04	51.34206867	4.50497728
IV2017021416585251	N2000meetnet_Grasland	1474526	9	2016-08-04	2016-08-04	51.34206867	4.50497728
IV2017021417070556	N2000meetnet_Grasland	1884126	1017	2016-08-02	2016-08-02	51.34459844	4.50385785
IV2017021417294457	N2000meetnet_Grasland	1884126	9	2016-08-02	2016-08-02	51.34459844	4.50385785
IV2017021510114273	N2000meetnet_Grasland	311262	1017	2015-07-28	2015-07-28	51.34199363	4.50322114
IV2017021511162976	N2000meetnet_Grasland	311262	9	2015-07-28	2015-07-28	51.34199363	4.50322114
IV2017021511480087	N2000meetnet_Moerassen	880094	1017	2016-10-07	2016-10-07	51.35172707	4.58578385
IV2017021512035316	N2000meetnet_Moerassen	880094	9	2016-10-07	2016-10-07	51.35172707	4.58578385
IV2017021512174228	N2000meetnet_Grasland	3777298	1017	2016-07-27	2016-07-27	51.15612058	5.42327476
IV2017021513022196	N2000meetnet_Moerassen	482290	1017	2016-09-13	2016-09-13	50.93395862	5.66138816
IV2017021513104974	N2000meetnet_Moerassen	482290	9	2016-09-13	2016-09-13	50.93395862	5.66138816
IV2017021513172295	N2000meetnet_Grasland	3777298	9	2016-07-27	2016-07-27	51.15612058	5.42327476
IV2017021513174412	N2000meetnet_Moerassen	267986	1017	2016-09-13	2016-09-13	50.99181549	5.40766259
IV2017021513305863	N2000meetnet_Moerassen	267986	9	2016-09-13	2016-09-13	50.99181549	5.40766259
IV2017021513460105	N2000meetnet_Moerassen	1388150	1017	2015-06-29	2015-06-29	51.16970991	5.23872543
IV2017021513582966	N2000meetnet_Moerassen	1388150	9	2015-06-29	2015-06-29	51.16970991	5.23872543
IV2017021514080638	N2000meetnet_Moerassen	923346	1017	2016-09-13	2016-09-13	50.99168147	5.40729205
IV2017021514480221	N2000meetnet_Moerassen	923346	9	2016-09-13	2016-09-13	50.99168147	5.40729205
IV2017021514542213	N2000meetnet_Moerassen	419538	1017	2016-09-23	2016-09-23	51.00399793	5.41710805
IV2017021515052872	N2000meetnet_Moerassen	419538	9	2016-09-23	2016-09-23	51.00399793	5.41710805
IV2017021515123500	N2000meetnet_Moerassen	943826	1017	2016-09-28	2016-09-28	51.00401754	5.41528481
IV2017021515263591	N2000meetnet_Moerassen	943826	9	2016-09-28	2016-09-28	51.00401754	5.41528481
IV2017021515354295	N2000meetnet_Moerassen	271030	1017	2016-09-15	2016-09-15	50.99795238	5.27930096
IV2017021515505552	N2000meetnet_Moerassen	271030	9	2016-09-15	2016-09-15	50.99795238	5.27930096
IV2017021515592266	N2000meetnet_Moerassen	103094	1017	2016-09-15	2016-09-15	50.9957064	5.2712393
IV2017021516075256	N2000meetnet_Moerassen	103094	9	2016-09-15	2016-09-15	50.9957064	5.2712393
IV2017021516164241	N2000meetnet_Moerassen	959958	1017	2016-09-20	2016-09-20	51.2064203	4.8575165
IV2017021516261649	N2000meetnet_Moerassen	959958	9	2016-09-20	2016-09-20	51.2064203	4.8575165
IV2017021521415567	N2000meetnet_Grasland	2552882	1017	2016-07-13	2016-07-13	50.88187798	5.37460023
IV2017021521571275	N2000meetnet_Grasland	2552882	9	2016-07-13	2016-07-13	50.88187798	5.37460023
IV2017021710141595	N2000meetnet_Moerassen	1087350	1017	2016-09-20	2016-09-20	51.14514696	5.17547098
IV2017021710262223	N2000meetnet_Moerassen	1087350	9	2016-09-20	2016-09-20	51.14514696	5.17547098
IV2017021710412000	N2000meetnet_Moerassen	3219382	1017	2015-09-21	2015-09-21	51.08094482	5.29660115
IV2017021710534965	N2000meetnet_Moerassen	3219382	9	2015-09-21	2015-09-21	51.08094482	5.29660115
IV2017021712024375	N2000meetnet_Moerassen	1749942	1017	2015-09-17	2015-09-17	51.09865853	5.34341465
IV2017021712152647	N2000meetnet_Moerassen	1749942	9	2015-09-17	2015-09-17	51.09865853	5.34341465
IV2017021712211026	N2000meetnet_Moerassen	702674	1017	2015-09-18	2015-09-18	51.09462691	5.34924711
IV2017021712361732	N2000meetnet_Moerassen	702674	9	2015-09-18	2015-09-18	51.09462691	5.34924711
IV2017021712570028	N2000meetnet_Moerassen	3732406	1017	2015-09-21	2015-09-21	51.09319341	5.33738569
IV2017021713122588	N2000meetnet_Moerassen	3732406	9	2015-09-21	2015-09-21	51.09319341	5.33738569
IV2017021716013587	N2000meetnet_Grasland	4026418	1017	2016-06-18	2016-06-18	50.85486826	5.35860987
IV2017021716250537	N2000meetnet_Moerassen	1635254	1017	2015-09-21	2015-09-21	51.09272879	5.33504449
IV2017021716440979	N2000meetnet_Moerassen	1635254	9	2015-09-21	2015-09-21	51.09272879	5.33504449
IV2017021716580390	N2000meetnet_Moerassen	2225078	1017	2015-09-18	2015-09-18	51.09472767	5.34272376
IV2017021717085050	N2000meetnet_Grasland	4026418	9	2016-06-18	2016-06-18	50.85486826	5.35860987
IV2017021717285026	N2000meetnet_Moerassen	2225078	9	2015-09-18	2015-09-18	51.09472767	5.34272376
IV2017022009530029	N2000meetnet_Grasland	2371634	1017	2016-07-18	2016-07-18	50.85454907	5.357753
IV2017022010250767	N2000meetnet_Grasland	2371634	9	2016-07-18	2016-07-18	50.85454907	5.357753
IV2017022011083153	N2000meetnet_Grasland	1583446	1017	2016-07-19	2016-07-19	50.98290122	4.86155726
IV2017022011205318	N2000meetnet_Grasland	1583446	9	2016-07-19	2016-07-19	50.98290122	4.86155726
IV2017022012400428	N2000meetnet_Grasland	5783154	1017	2016-07-12	2016-07-12	50.82369569	5.37221368
IV2017022013121858	N2000meetnet_Grasland	5783154	9	2016-07-12	2016-07-12	50.82369569	5.37221368
IV2017022013575286	N2000meetnet_Grasland	414646	1017	2015-08-18	2015-08-18	51.0946542	5.31041571
IV2017022014150360	N2000meetnet_Grasland	414646	9	2015-08-18	2015-08-18	51.0946542	5.31041571
IV2017022015155634	N2000meetnet_Grasland	905382	1017	2015-06-11	2015-06-11	50.95876857	5.03074614
IV2017022015390187	N2000meetnet_Grasland	905382	9	2015-06-11	2015-06-11	50.95876857	5.03074614
IV2017022111070389	N2000meetnet_Moerassen	996278	1017	2015-08-18	2015-08-18	51.09276243	5.33093391
IV2017022111075784	N2000meetnet_Moerassen	996278	9	2015-08-18	2015-08-18	51.09276243	5.33093391
IV2017022111173825	N2000meetnet_Moerassen	1004470	1017	2015-08-18	2015-08-18	51.09028864	5.31672268
IV2017022111183354	N2000meetnet_Moerassen	1004470	9	2015-08-18	2015-08-18	51.09028864	5.31672268
IV2017022112283578	N2000meetnet_Grasland	3008870	1017	2015-07-07	2015-07-07	50.8148787	5.04149702
IV2017022112545290	N2000meetnet_Grasland	3008870	9	2015-07-07	2015-07-07	50.8148787	5.04149702
IV2017022115074420	N2000meetnet_Grasland	4057446	1017	2015-07-07	2015-07-07	50.81435928	5.0404801
IV2017022115375527	N2000meetnet_Grasland	4057446	9	2015-07-07	2015-07-07	50.81435928	5.0404801
IV2017022211082902	N2000meetnet_Grasland	3741830	1017	2015-06-09	2015-06-09	50.93496239	4.83693001
IV2017022211385297	N2000meetnet_Grasland	3741830	9	2015-06-09	2015-06-09	50.93496239	4.83693001
IV2017022212325377	N2000meetnet_Grasland	1156230	1017	2015-06-09	2015-06-09	50.94336307	4.8157002
IV2017022213011877	N2000meetnet_Grasland	1156230	9	2015-06-09	2015-06-09	50.94336307	4.8157002
IV2017022310474384	N2000meetnet_Grasland	2160774	1017	2016-07-06	2016-07-06	50.93104708	4.86714911
IV2017022315312444	N2000meetnet_Grasland	2160774	9	2016-07-06	2016-07-06	50.93104708	4.86714911
IV2017022316243012	N2000meetnet_Grasland	2839602	1017	2016-06-08	2016-06-08	50.88432364	5.38346494
IV2017022318064503	N2000meetnet_Grasland	2839602	9	2016-06-08	2016-06-08	50.88432364	5.38346494
IV2017022410260914	N2000meetnet_Grasland	742450	1017	2016-06-16	2016-06-16	50.88556031	5.38778713
IV2017022410371769	N2000meetnet_Grasland	742450	9	2016-06-16	2016-06-16	50.88556031	5.38778713
IV2017022411275584	N2000meetnet_Grasland	double_480306	1017	2016-06-08	2016-06-08	50.88335678	5.38255537
IV2017022412465341	N2000meetnet_Grasland	double_480306	9	2016-06-08	2016-06-08	50.88335678	5.38255537
IV2017022413245704	N2000meetnet_Grasland	2334002	1017	2016-06-20	2016-06-20	50.912345	5.43599136
IV2017022413445592	N2000meetnet_Grasland	2334002	9	2016-06-20	2016-06-20	50.912345	5.43599136
IV2017022414255992	N2000meetnet_Grasland	2479154	1017	2016-06-16	2016-06-16	50.88485314	5.38940818
IV2017022414402631	N2000meetnet_Grasland	2479154	9	2016-06-16	2016-06-16	50.88485314	5.38940818
IV2017022415170190	N2000meetnet_Grasland	143602	1017	2016-07-01	2016-07-01	50.87842317	5.58422798
IV2017022415353736	N2000meetnet_Grasland	143602	9	2016-07-01	2016-07-01	50.87842317	5.58422798
IV2017112908192809	N2000meetnet_Grasland_BHM	1036446	1017	2017-07-12	2017-07-12	51.32975906	4.6572735
IV2017112908460816	N2000meetnet_Grasland_BHM	1036446	9	2017-07-12	2017-07-12	51.32975906	4.6572735
IV2017112912245580	N2000meetnet_Grasland_BHM	823129	1017	2017-07-10	2017-07-10	50.98076443	3.91600335
IV2017112912580483	N2000meetnet_Grasland_BHM	823129	9	2017-07-10	2017-07-10	50.98076443	3.91600335
IV2017112913404044	N2000meetnet_Grasland_BHM	1428270	1017	2017-06-26	2017-06-26	51.37092101	5.03846076
IV2017112913583445	N2000meetnet_Grasland_BHM	1428270	9	2017-06-26	2017-06-26	51.37092101	5.03846076
IV2017112914094613	N2000meetnet_Grasland_BHM	1660950	1017	2017-06-23	2017-06-23	51.07154148	4.5415359
IV2017112914372721	N2000meetnet_Grasland_BHM	1660950	9	2017-06-23	2017-06-23	51.07154148	4.5415359
IV2017112915064012	N2000meetnet_Grasland_BHM	double_1642233	1017	2017-06-23	2017-06-23	50.95660583	3.99957262
IV2017112915243954	N2000meetnet_Grasland_BHM	double_1642233	9	2017-06-23	2017-06-23	50.95660583	3.99957262
IV2017113008452613	N2000meetnet_Grasland_BHM	double_6645958	1017	2017-06-23	2017-06-23	50.9108431	4.64011837
IV2017113010102631	N2000meetnet_Grasland_BHM	double_6645958	9	2017-06-23	2017-06-23	50.9108431	4.64011837
IV2017113010285455	N2000meetnet_Grasland_BHM	6194105	1017	2017-06-20	2017-06-20	50.71567669	4.3045115
IV2017113011505228	N2000meetnet_Grasland_BHM	6194105	9	2017-06-20	2017-06-20	50.71567669	4.3045115
IV2017120107565546	N2000meetnet_Grasland_BHM	1348277	1017	2017-09-29	2017-09-29	51.28214461	3.13657157
IV2017120108115051	N2000meetnet_Grasland_BHM	1348277	9	2017-09-29	2017-09-29	51.28214461	3.13657157
IV2017120108515000	N2000meetnet_Grasland_BHM	299701	1017	2017-09-29	2017-09-29	51.28102098	3.13981008
IV2017120109032402	N2000meetnet_Grasland_BHM	299701	9	2017-09-29	2017-09-29	51.28102098	3.13981008
IV2017120109300668	N2000meetnet_Grasland_BHM	1403657	1017	2017-09-29	2017-09-29	51.24789654	3.71785937
IV2017120111004036	N2000meetnet_Grasland_BHM	1403657	9	2017-09-29	2017-09-29	51.24789654	3.71785937
IV2017120111214650	N2000meetnet_Grasland_BHM	4599942	1017	2017-06-29	2017-06-29	50.97268536	4.78262343
IV2017120111463956	N2000meetnet_Grasland_BHM	4599942	9	2017-06-29	2017-06-29	50.97268536	4.78262343
IV2017120111560343	N2000meetnet_Grasland_BHM	2334854	1017	2017-06-29	2017-06-29	50.97288847	4.79678764
IV2017120112090282	N2000meetnet_Grasland_BHM	2334854	9	2017-06-29	2017-06-29	50.97288847	4.79678764
IV2017120112213868	N2000meetnet_Grasland_BHM	1040518	1017	2017-06-29	2017-06-29	50.96990506	4.80129081
IV2017120112565263	N2000meetnet_Grasland_BHM	1040518	9	2017-06-29	2017-06-29	50.96990506	4.80129081
IV2017120113271520	N2000meetnet_Grasland_BHM	2813697	1017	2017-09-25	2017-09-25	51.1456252	3.09443022
IV2017120114192219	N2000meetnet_Grasland_BHM	2813697	9	2017-09-25	2017-09-25	51.1456252	3.09443022
IV2017120114521398	N2000meetnet_Grasland_BHM	8158406	1017	2017-05-29	2017-05-29	50.92952364	4.5508016
IV2017120117414722	N2000meetnet_Grasland_BHM	8158406	9	2017-05-29	2017-05-29	50.92952364	4.5508016
IV2017120117561385	N2000meetnet_Grasland	8121542	1017	2017-05-29	2017-05-29	50.92568816	4.54600446
IV2017120118231406	N2000meetnet_Grasland	8121542	9	2017-05-29	2017-05-29	50.92568816	4.54600446
IV2017120118342938	N2000meetnet_Grasland	7072966	1017	2017-05-29	2017-05-29	50.92598617	4.54554571
IV2017120118520910	N2000meetnet_Grasland	7072966	9	2017-05-29	2017-05-29	50.92598617	4.54554571
IV2018022813474152	N2000meetnet_Grasland_BHM	1443378	1017	2017-07-27	2017-07-27	50.94466814	5.57663457
IV2018030220035638	N2000meetnet_Grasland_BHM	1443378	9	2017-07-27	2017-07-27	50.94466814	5.57663457
IV2018030221003731	N2000meetnet_Grasland_BHM	332786	1017	2017-07-27	2017-07-27	50.95802143	5.59145587
IV2018030221161700	N2000meetnet_Grasland_BHM	332786	9	2017-07-27	2017-07-27	50.95802143	5.59145587
IV2018030414484080	N2000meetnet_Grasland_BHM	1085366	1017	2017-07-31	2017-07-31	51.08559076	5.32806451
IV2018030415500950	N2000meetnet_Grasland_BHM	1085366	9	2017-07-31	2017-07-31	51.08559076	5.32806451
IV2018030416111323	N2000meetnet_Grasland_BHM	983990	1017	2017-08-17	2017-08-17	51.11865164	5.29490027
IV2018030416251801	N2000meetnet_Grasland_BHM	983990	9	2017-08-17	2017-08-17	51.11865164	5.29490027
IV2018030417514439	N2000meetnet_Grasland_BHM	309458	1017	2017-08-17	2017-08-17	51.09366925	5.35834334
IV2018030418071744	N2000meetnet_Grasland_BHM	309458	9	2017-08-17	2017-08-17	51.09366925	5.35834334
IV2018030509282854	N2000meetnet_Grasland_BHM	5253462	1017	2017-07-25	2017-07-25	50.98290379	4.86110632
IV2018030510512619	N2000meetnet_Grasland_BHM	5253462	9	2017-07-25	2017-07-25	50.98290379	4.86110632
IV2018030511543075	N2000meetnet_Grasland_BHM	2133926	1017	2017-07-20	2017-07-20	50.92784693	4.88201658
IV2018030512111847	N2000meetnet_Grasland_BHM	2133926	9	2017-07-20	2017-07-20	50.92784693	4.88201658
IV2018030513285216	N2000meetnet_Grasland_BHM	2264998	1017	2017-07-20	2017-07-20	50.92979033	4.88735276
IV2018030513530737	N2000meetnet_Grasland_BHM	2264998	9	2017-07-20	2017-07-20	50.92979033	4.88735276
IV2018030514502970	N2000meetnet_Grasland_BHM	3734950	1017	2017-07-20	2017-07-20	50.88488549	4.9176968
IV2018030514594211	N2000meetnet_Grasland_BHM	3734950	9	2017-07-20	2017-07-20	50.88488549	4.9176968
IV2018030610544440	N2000meetnet_Grasland_BHM	5630310	1017	2017-07-19	2017-07-19	50.81409588	5.04138749
IV2018030613174547	N2000meetnet_Grasland_BHM	5630310	9	2017-07-19	2017-07-19	50.81409588	5.04138749
IV2018030614095561	N2000meetnet_Grasland_BHM	7203174	1017	2017-07-19	2017-07-19	50.81458887	5.04052193
IV2018030614122464	N2000meetnet_Grasland_BHM	7203174	9	2017-07-19	2017-07-19	50.81458887	5.04052193
IV2018030711143521	N2000meetnet_Grasland_BHM	5624882	1017	2017-07-10	2017-07-10	50.8848748	5.38937513
IV2018030711265492	N2000meetnet_Grasland_BHM	5624882	9	2017-07-10	2017-07-10	50.8848748	5.38937513
IV2018030712002428	N2000meetnet_Grasland_BHM	589698	1017	2017-07-06	2017-07-06	50.73278068	5.90255562
IV2018030714024007	N2000meetnet_Grasland_BHM	6948370	1017	2017-07-03	2017-07-03	51.2142943	5.53863012
IV2018030714233862	N2000meetnet_Grasland_BHM	6948370	9	2017-07-03	2017-07-03	51.2142943	5.53863012
IV2018030715412818	N2000meetnet_Grasland_BHM	783954	1017	2017-06-30	2017-06-30	50.98334388	5.6440686
IV2018030715551163	N2000meetnet_Grasland_BHM	783954	9	2017-06-30	2017-06-30	50.98334388	5.6440686
IV2018030719161925	N2000meetnet_Moeras_BHM	1140434	1017	2017-07-04	2017-07-04	50.99898968	5.41574563
IV2018030719244841	N2000meetnet_Moeras_BHM	1140434	9	2017-07-04	2017-07-04	50.99898968	5.41574563
IV2018030719311738	N2000meetnet_Moeras_BHM	1468114	1017	2017-07-10	2017-07-10	51.00426607	5.4193924
IV2018030719484292	N2000meetnet_Moeras_BHM	1468114	9	2017-07-10	2017-07-10	51.00426607	5.4193924
IV2018031009120638	N2000meetnet_Moeras_BHM	1367026	1017	2017-06-30	2017-06-30	50.92851552	5.65205368
IV2018031009213148	N2000meetnet_Moeras_BHM	1367026	9	2017-06-30	2017-06-30	50.92851552	5.65205368
IV2018031010111411	N2000meetnet_Moeras_BHM	222518	1017	2017-07-25	2017-07-25	51.01774	4.97776408
IV2018031010191687	N2000meetnet_Moeras_BHM	222518	9	2017-07-25	2017-07-25	51.01774	4.97776408
IV2018031015311631	N2000meetnet_Moeras_BHM	1576886	1017	2017-07-31	2017-07-31	51.08829076	5.34062197
IV2018031021192601	N2000meetnet_Moeras_BHM	1576886	9	2017-07-31	2017-07-31	51.08829076	5.34062197
IV2018031108343898	N2000meetnet_Moeras_BHM	471990	1017	2017-08-17	2017-08-17	51.09249344	5.32864434
IV2018031109022283	N2000meetnet_Moeras_BHM	471990	9	2017-08-17	2017-08-17	51.09249344	5.32864434
IV2018031112563585	N2000meetnet_Moeras_BHM	369974	1017	2017-07-25	2017-07-25	51.01367658	4.98409795
IV2018031113042338	N2000meetnet_Moeras_BHM	369974	9	2017-07-25	2017-07-25	51.01367658	4.98409795
IV2018031113221134	N2000meetnet_Moeras_BHM	717750	1017	2017-07-31	2017-07-31	51.09037275	5.3418433
IV2018031113285776	N2000meetnet_Moeras_BHM	717750	9	2017-07-31	2017-07-31	51.09037275	5.3418433
IV2018082008574310	N2000meetnet_Grasland_BHM	589698	9	2017-07-06	2017-07-06	50.73278068	5.90255562
IV2018082212442286	Schelde-estuarium	BV18/001	4	2018-04-26	2018-04-26	500	500
IV2018082213112843	Schelde-estuarium	BV18/002	4	2018-04-26	2018-04-26	500	500
IV2018082213173664	Schelde-estuarium	BV18/003	4	2018-04-26	2018-04-26	500	500
IV2018082213270175	Schelde-estuarium	BV18/004	4	2018-04-26	2018-04-26	500	500
IV2018082407540429	N2000meetnet_Grasland_BHM	6102322	1017	2017-06-08	2017-06-08	50.91377539	5.43647941
IV2018082408442571	N2000meetnet_Grasland_BHM	6102322	9	2017-06-08	2017-06-08	50.91377539	5.43647941
IV2018111315350058	Schelde-estuarium	WM18/001	16	2018-10-08	2018-10-08	500	500
IV2018111407581738	Schelde-estuarium	WM18/002	16	2018-10-08	2018-10-08	500	500
IV2018111408043701	Schelde-estuarium	WM18/003	16	2018-10-08	2018-10-08	500	500
IV2018111408053798	Schelde-estuarium	WM18/004	16	2018-10-08	2018-10-08	500	500
IV2018111408072115	Schelde-estuarium	WM18/005	16	2018-10-08	2018-10-08	500	500
IV2018111408085978	Schelde-estuarium	WM18/006	16	2018-10-08	2018-10-08	500	500
IV2018111408102356	Schelde-estuarium	WM18/007	16	2018-10-08	2018-10-08	500	500
IV2018111410191109	Schelde-estuarium	WM18/008	16	2018-10-08	2018-10-08	500	500
IV2018111410212460	Schelde-estuarium	WM18/009	16	2018-10-08	2018-10-08	500	500
IV2018111410351858	Schelde-estuarium	WM18/010	16	2018-10-08	2018-10-08	500	500
IV2018111410391515	Schelde-estuarium	WM18/011	16	2018-10-08	2018-10-08	500	500
IV2018111410453707	Schelde-estuarium	WM18/012	16	2018-10-08	2018-10-08	500	500
IV2018111410464587	Schelde-estuarium	WM18/013	16	2018-10-08	2018-10-08	500	500
IV2018111410473093	Schelde-estuarium	WM18/014	16	2018-10-08	2018-10-08	500	500
IV2018111410483464	Schelde-estuarium	WM18/015	16	2018-10-08	2018-10-08	500	500
IV2018111410494430	Schelde-estuarium	WM18/016	16	2018-10-08	2018-10-08	500	500
IV2018111410522409	Schelde-estuarium	WM18/017	16	2018-10-08	2018-10-08	500	500
IV2018111410533071	Schelde-estuarium	WM18/018	16	2018-10-08	2018-10-08	500	500
IV2018111410563269	Schelde-estuarium	WM18/019	16	2018-10-08	2018-10-08	500	500
IV2018111410575670	Schelde-estuarium	WM18/020	16	2018-10-08	2018-10-08	500	500
IV2018111411015962	Schelde-estuarium	WM18/021	16	2018-10-08	2018-10-08	500	500
IV2018111411054143	Schelde-estuarium	WM18/022	16	2018-10-08	2018-10-08	500	500
IV2018111411071751	Schelde-estuarium	WM18/023	16	2018-10-08	2018-10-08	500	500
IV2018111411091469	Schelde-estuarium	WM18/024	16	2018-10-08	2018-10-08	500	500
IV2018111612142267	Schelde-estuarium	WM17/001	16	2017-10-09	2017-10-09	500	500
IV2018111612163758	Schelde-estuarium	WM17/002	16	2017-10-09	2017-10-09	500	500
IV2018111612202373	Schelde-estuarium	WM17/003	16	2017-10-09	2017-10-09	500	500
IV2018111612220739	Schelde-estuarium	WM17/004	16	2017-10-09	2017-10-09	500	500
IV2018111612263723	Schelde-estuarium	WM17/005	16	2017-10-09	2017-10-09	500	500
IV2018111612285837	Schelde-estuarium	WM17/006	16	2017-10-09	2017-10-09	500	500
IV2018111612320352	Schelde-estuarium	WM17/007	16	2017-10-09	2017-10-09	500	500
IV2018111612344164	Schelde-estuarium	WM17/008	16	2017-10-09	2017-10-09	500	500
IV2018111612362425	Schelde-estuarium	WM17/009	16	2017-10-09	2017-10-09	500	500
IV2018111612411090	Schelde-estuarium	WM17/010	16	2017-10-09	2017-10-09	500	500
IV2018111612424852	Schelde-estuarium	WM17/011	16	2017-10-09	2017-10-09	500	500
IV2018111612435812	Schelde-estuarium	WM17/012	16	2017-10-09	2017-10-09	500	500
IV2018111612471081	Schelde-estuarium	WM17/013	16	2017-10-09	2017-10-09	500	500
IV2018111612491051	Schelde-estuarium	WM17/014	16	2017-10-09	2017-10-09	500	500
IV2018111612503987	Schelde-estuarium	WM17/015	16	2017-10-09	2017-10-09	500	500
IV2018111612521800	Schelde-estuarium	WM17/016	16	2017-10-09	2017-10-09	500	500
IV2018111612542475	Schelde-estuarium	WM17/017	16	2017-10-09	2017-10-09	500	500
IV2018111612560807	Schelde-estuarium	WM17/018	16	2017-10-09	2017-10-09	500	500
IV2018111612584267	Schelde-estuarium	WM17/019	16	2017-10-09	2017-10-09	500	500
IV2018111613015132	Schelde-estuarium	WM17/020	16	2017-10-09	2017-10-09	500	500
IV2018111613044508	Schelde-estuarium	WM17/021	16	2017-10-09	2017-10-09	500	500
IV2018111613055404	Schelde-estuarium	WM17/022	16	2017-10-09	2017-10-09	500	500
IV2018111613073450	Schelde-estuarium	WM17/023	16	2017-10-09	2017-10-09	500	500
IV2018111613092203	Schelde-estuarium	WM17/024	16	2017-10-09	2017-10-09	500	500
IV2018111620275169	Schelde-estuarium	WM16/001	16	2016-10-17	2016-10-17	500	500
IV2018111620292137	Schelde-estuarium	WM16/002	16	2016-10-17	2016-10-17	500	500
IV2018111620320139	Schelde-estuarium	WM16/003	16	2016-10-17	2016-10-17	500	500
IV2018111620340682	Schelde-estuarium	WM16/004	16	2016-10-17	2016-10-17	500	500
IV2018111620360077	Schelde-estuarium	WM16/005	16	2016-10-17	2016-10-17	500	500
IV2018111620370956	Schelde-estuarium	WM16/006	16	2016-10-17	2016-10-17	500	500
IV2018111620381806	Schelde-estuarium	WM16/007	16	2016-10-17	2016-10-17	500	500
IV2018111620403688	Schelde-estuarium	WM16/008	16	2016-10-17	2016-10-17	500	500
IV2018111620421106	Schelde-estuarium	WM16/009	16	2016-10-17	2016-10-17	500	500
IV2018111620433542	Schelde-estuarium	WM16/010	16	2016-10-17	2016-10-17	500	500
IV2018111620460965	Schelde-estuarium	WM16/011	16	2016-10-17	2016-10-17	500	500
IV2018111620481436	Schelde-estuarium	WM16/012	16	2016-10-17	2016-10-17	500	500
IV2018111620522922	Schelde-estuarium	WM16/013	16	2016-10-17	2016-10-17	500	500
IV2018111620593201	Schelde-estuarium	WM16/014	16	2016-10-17	2016-10-17	500	500
IV2018111621003005	Schelde-estuarium	WM16/015	16	2016-10-17	2016-10-17	500	500
