survey	recording_givid	layer_code	layer_description	layer_cover
N2000meetnet_Grasland	IV2017021415415208	K	Kruidlaag	50
N2000meetnet_Grasland	IV2017021415415208	MO	Moslaag	40
N2000meetnet_Grasland	IV2017021415415208	NB	Naakte Bodem	5
N2000meetnet_Grasland	IV2017021415415208	S	Struiklaag	2
N2000meetnet_Grasland	IV2017021415534916	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017021415534916	MO	Moslaag	50
N2000meetnet_Grasland	IV2017021415534916	NB	Naakte Bodem	1
N2000meetnet_Grasland	IV2017021415534916	STR	Strooisel	1
N2000meetnet_Grasland	IV2017021415590760	K	Kruidlaag	55
N2000meetnet_Grasland	IV2017021415590760	MO	Moslaag	30
N2000meetnet_Grasland	IV2017021415590760	NB	Naakte Bodem	5
N2000meetnet_Grasland	IV2017021416061568	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017021416061568	MO	Moslaag	20
N2000meetnet_Grasland	IV2017021416154407	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017021416154407	MO	Moslaag	60
N2000meetnet_Grasland	IV2017021416154407	NB	Naakte Bodem	1
N2000meetnet_Grasland	IV2017021416154407	STR	Strooisel	1
N2000meetnet_Grasland	IV2017021416161173	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017021416161173	MO	Moslaag	20
N2000meetnet_Grasland	IV2017021416262329	K	Kruidlaag	70
N2000meetnet_Grasland	IV2017021416262329	MO	Moslaag	5
N2000meetnet_Grasland	IV2017021416262329	NB	Naakte Bodem	5
N2000meetnet_Grasland	IV2017021416262329	S	Struiklaag	1
N2000meetnet_Grasland	IV2017021416585251	K	Kruidlaag	70
N2000meetnet_Grasland	IV2017021416585251	MO	Moslaag	5
N2000meetnet_Grasland	IV2017021416585251	NB	Naakte Bodem	5
N2000meetnet_Grasland	IV2017021417070556	K	Kruidlaag	50
N2000meetnet_Grasland	IV2017021417070556	MO	Moslaag	50
N2000meetnet_Grasland	IV2017021417070556	NB	Naakte Bodem	5
N2000meetnet_Grasland	IV2017021417070556	S	Struiklaag	1
N2000meetnet_Grasland	IV2017021417294457	K	Kruidlaag	50
N2000meetnet_Grasland	IV2017021417294457	MO	Moslaag	50
N2000meetnet_Grasland	IV2017021417294457	NB	Naakte Bodem	1
N2000meetnet_Grasland	IV2017021510114273	K	Kruidlaag	70
N2000meetnet_Grasland	IV2017021510114273	MO	Moslaag	60
N2000meetnet_Grasland	IV2017021510114273	NB	Naakte Bodem	1
N2000meetnet_Grasland	IV2017021510114273	S	Struiklaag	5
N2000meetnet_Grasland	IV2017021511162976	K	Kruidlaag	70
N2000meetnet_Grasland	IV2017021511162976	MO	Moslaag	60
N2000meetnet_Moerassen	IV2017021511480087	B	Boomlaag	10
N2000meetnet_Moerassen	IV2017021511480087	K	Kruidlaag	80
N2000meetnet_Moerassen	IV2017021511480087	MO	Moslaag	15
N2000meetnet_Moerassen	IV2017021511480087	NB	Naakte Bodem	5
N2000meetnet_Moerassen	IV2017021511480087	S	Struiklaag	20
N2000meetnet_Moerassen	IV2017021511480087	STR	Strooisel	70
N2000meetnet_Moerassen	IV2017021512035316	K	Kruidlaag	100
N2000meetnet_Moerassen	IV2017021512035316	MO	Moslaag	2
N2000meetnet_Moerassen	IV2017021512035316	STR	Strooisel	70
N2000meetnet_Grasland	IV2017021512174228	K	Kruidlaag	85
N2000meetnet_Grasland	IV2017021512174228	MO	Moslaag	30
N2000meetnet_Moerassen	IV2017021513022196	K	Kruidlaag	60
N2000meetnet_Moerassen	IV2017021513022196	MO	Moslaag	60
N2000meetnet_Moerassen	IV2017021513022196	NB	Naakte Bodem	15
N2000meetnet_Moerassen	IV2017021513104974	K	Kruidlaag	60
N2000meetnet_Moerassen	IV2017021513104974	MO	Moslaag	70
N2000meetnet_Moerassen	IV2017021513104974	NB	Naakte Bodem	15
N2000meetnet_Grasland	IV2017021513172295	K	Kruidlaag	90
N2000meetnet_Grasland	IV2017021513172295	MO	Moslaag	20
N2000meetnet_Moerassen	IV2017021513174412	K	Kruidlaag	90
N2000meetnet_Moerassen	IV2017021513174412	MO	Moslaag	40
N2000meetnet_Moerassen	IV2017021513174412	NB	Naakte Bodem	10
N2000meetnet_Moerassen	IV2017021513174412	S	Struiklaag	40
N2000meetnet_Moerassen	IV2017021513305863	K	Kruidlaag	70
N2000meetnet_Moerassen	IV2017021513305863	MO	Moslaag	50
N2000meetnet_Moerassen	IV2017021513305863	NB	Naakte Bodem	15
N2000meetnet_Moerassen	IV2017021513305863	S	Struiklaag	100
N2000meetnet_Moerassen	IV2017021513460105	K	Kruidlaag	60
N2000meetnet_Moerassen	IV2017021513460105	MO	Moslaag	10
N2000meetnet_Moerassen	IV2017021513460105	NB	Naakte Bodem	50
N2000meetnet_Moerassen	IV2017021513460105	S	Struiklaag	1
N2000meetnet_Moerassen	IV2017021513582966	K	Kruidlaag	60
N2000meetnet_Moerassen	IV2017021513582966	MO	Moslaag	10
N2000meetnet_Moerassen	IV2017021513582966	NB	Naakte Bodem	50
N2000meetnet_Moerassen	IV2017021514080638	K	Kruidlaag	90
N2000meetnet_Moerassen	IV2017021514080638	MO	Moslaag	20
N2000meetnet_Moerassen	IV2017021514080638	NB	Naakte Bodem	10
N2000meetnet_Moerassen	IV2017021514080638	S	Struiklaag	30
N2000meetnet_Moerassen	IV2017021514080638	STR	Strooisel	20
N2000meetnet_Moerassen	IV2017021514480221	K	Kruidlaag	90
N2000meetnet_Moerassen	IV2017021514480221	MO	Moslaag	20
N2000meetnet_Moerassen	IV2017021514480221	NB	Naakte Bodem	10
N2000meetnet_Moerassen	IV2017021514480221	S	Struiklaag	4
N2000meetnet_Moerassen	IV2017021514480221	STR	Strooisel	20
N2000meetnet_Moerassen	IV2017021514542213	K	Kruidlaag	90
N2000meetnet_Moerassen	IV2017021514542213	MO	Moslaag	40
N2000meetnet_Moerassen	IV2017021514542213	NB	Naakte Bodem	1
N2000meetnet_Moerassen	IV2017021514542213	S	Struiklaag	1
N2000meetnet_Moerassen	IV2017021515052872	K	Kruidlaag	90
N2000meetnet_Moerassen	IV2017021515052872	MO	Moslaag	30
N2000meetnet_Moerassen	IV2017021515123500	K	Kruidlaag	50
N2000meetnet_Moerassen	IV2017021515123500	MO	Moslaag	20
N2000meetnet_Moerassen	IV2017021515123500	NB	Naakte Bodem	30
N2000meetnet_Moerassen	IV2017021515263591	K	Kruidlaag	50
N2000meetnet_Moerassen	IV2017021515263591	MO	Moslaag	30
N2000meetnet_Moerassen	IV2017021515263591	NB	Naakte Bodem	30
N2000meetnet_Moerassen	IV2017021515354295	K	Kruidlaag	80
N2000meetnet_Moerassen	IV2017021515354295	MO	Moslaag	10
N2000meetnet_Moerassen	IV2017021515354295	NB	Naakte Bodem	20
N2000meetnet_Moerassen	IV2017021515354295	S	Struiklaag	10
N2000meetnet_Moerassen	IV2017021515354295	STR	Strooisel	70
N2000meetnet_Moerassen	IV2017021515505552	K	Kruidlaag	100
N2000meetnet_Moerassen	IV2017021515505552	MO	Moslaag	20
N2000meetnet_Moerassen	IV2017021515505552	STR	Strooisel	70
N2000meetnet_Moerassen	IV2017021515592266	K	Kruidlaag	100
N2000meetnet_Moerassen	IV2017021515592266	MO	Moslaag	10
N2000meetnet_Moerassen	IV2017021515592266	NB	Naakte Bodem	5
N2000meetnet_Moerassen	IV2017021515592266	S	Struiklaag	60
N2000meetnet_Moerassen	IV2017021515592266	STR	Strooisel	70
N2000meetnet_Moerassen	IV2017021516075256	K	Kruidlaag	100
N2000meetnet_Moerassen	IV2017021516075256	MO	Moslaag	10
N2000meetnet_Moerassen	IV2017021516075256	NB	Naakte Bodem	1
N2000meetnet_Moerassen	IV2017021516075256	S	Struiklaag	70
N2000meetnet_Moerassen	IV2017021516075256	STR	Strooisel	70
N2000meetnet_Moerassen	IV2017021516164241	K	Kruidlaag	70
N2000meetnet_Moerassen	IV2017021516164241	MO	Moslaag	80
N2000meetnet_Moerassen	IV2017021516164241	S	Struiklaag	25
N2000meetnet_Moerassen	IV2017021516261649	K	Kruidlaag	70
N2000meetnet_Moerassen	IV2017021516261649	MO	Moslaag	80
N2000meetnet_Moerassen	IV2017021516261649	S	Struiklaag	1
N2000meetnet_Grasland	IV2017021521415567	B	Boomlaag	40
N2000meetnet_Grasland	IV2017021521415567	K	Kruidlaag	98
N2000meetnet_Grasland	IV2017021521415567	MO	Moslaag	1
N2000meetnet_Grasland	IV2017021521415567	S	Struiklaag	8
N2000meetnet_Grasland	IV2017021521415567	STR	Strooisel	1
N2000meetnet_Grasland	IV2017021521571275	K	Kruidlaag	98
N2000meetnet_Grasland	IV2017021521571275	MO	Moslaag	1
N2000meetnet_Grasland	IV2017021521571275	S	Struiklaag	10
N2000meetnet_Grasland	IV2017021521571275	STR	Strooisel	1
N2000meetnet_Moerassen	IV2017021710141595	K	Kruidlaag	95
N2000meetnet_Moerassen	IV2017021710141595	NB	Naakte Bodem	5
N2000meetnet_Moerassen	IV2017021710141595	S	Struiklaag	1
N2000meetnet_Moerassen	IV2017021710141595	STR	Strooisel	40
N2000meetnet_Moerassen	IV2017021710262223	K	Kruidlaag	95
N2000meetnet_Moerassen	IV2017021710262223	STR	Strooisel	30
N2000meetnet_Moerassen	IV2017021710412000	K	Kruidlaag	100
N2000meetnet_Moerassen	IV2017021710412000	MO	Moslaag	2
N2000meetnet_Moerassen	IV2017021710412000	S	Struiklaag	10
N2000meetnet_Moerassen	IV2017021710534965	K	Kruidlaag	95
N2000meetnet_Moerassen	IV2017021710534965	MO	Moslaag	2
N2000meetnet_Moerassen	IV2017021710534965	NB	Naakte Bodem	5
N2000meetnet_Moerassen	IV2017021710534965	S	Struiklaag	4
N2000meetnet_Moerassen	IV2017021712024375	K	Kruidlaag	99
N2000meetnet_Moerassen	IV2017021712024375	MO	Moslaag	1
N2000meetnet_Moerassen	IV2017021712024375	NB	Naakte Bodem	1
N2000meetnet_Moerassen	IV2017021712024375	S	Struiklaag	30
N2000meetnet_Moerassen	IV2017021712024375	STR	Strooisel	5
N2000meetnet_Moerassen	IV2017021712152647	K	Kruidlaag	99
N2000meetnet_Moerassen	IV2017021712152647	NB	Naakte Bodem	1
N2000meetnet_Moerassen	IV2017021712152647	STR	Strooisel	20
N2000meetnet_Moerassen	IV2017021712211026	K	Kruidlaag	100
N2000meetnet_Moerassen	IV2017021712211026	MO	Moslaag	20
N2000meetnet_Moerassen	IV2017021712211026	S	Struiklaag	4
N2000meetnet_Moerassen	IV2017021712211026	STR	Strooisel	10
N2000meetnet_Moerassen	IV2017021712361732	K	Kruidlaag	100
N2000meetnet_Moerassen	IV2017021712361732	MO	Moslaag	5
N2000meetnet_Moerassen	IV2017021712361732	S	Struiklaag	20
N2000meetnet_Moerassen	IV2017021712361732	STR	Strooisel	10
N2000meetnet_Moerassen	IV2017021712570028	K	Kruidlaag	95
N2000meetnet_Moerassen	IV2017021712570028	MO	Moslaag	40
N2000meetnet_Moerassen	IV2017021712570028	NB	Naakte Bodem	3
N2000meetnet_Moerassen	IV2017021712570028	S	Struiklaag	1
N2000meetnet_Moerassen	IV2017021712570028	STR	Strooisel	10
N2000meetnet_Moerassen	IV2017021713122588	K	Kruidlaag	95
N2000meetnet_Moerassen	IV2017021713122588	NB	Naakte Bodem	5
N2000meetnet_Moerassen	IV2017021713122588	STR	Strooisel	10
N2000meetnet_Grasland	IV2017021716013587	K	Kruidlaag	75
N2000meetnet_Grasland	IV2017021716013587	MO	Moslaag	0-x-1
N2000meetnet_Moerassen	IV2017021716250537	B	Boomlaag	20
N2000meetnet_Moerassen	IV2017021716250537	K	Kruidlaag	95
N2000meetnet_Moerassen	IV2017021716250537	MO	Moslaag	3
N2000meetnet_Moerassen	IV2017021716250537	NB	Naakte Bodem	5
N2000meetnet_Moerassen	IV2017021716250537	S	Struiklaag	25
N2000meetnet_Moerassen	IV2017021716440979	K	Kruidlaag	95
N2000meetnet_Moerassen	IV2017021716440979	MO	Moslaag	1
N2000meetnet_Moerassen	IV2017021716440979	NB	Naakte Bodem	5
N2000meetnet_Moerassen	IV2017021716440979	S	Struiklaag	65
N2000meetnet_Moerassen	IV2017021716580390	B	Boomlaag	5
N2000meetnet_Moerassen	IV2017021716580390	K	Kruidlaag	100
N2000meetnet_Moerassen	IV2017021716580390	MO	Moslaag	30
N2000meetnet_Moerassen	IV2017021716580390	S	Struiklaag	2
N2000meetnet_Grasland	IV2017021717085050	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017021717085050	MO	Moslaag	0-x-1
N2000meetnet_Moerassen	IV2017021717285026	K	Kruidlaag	100
N2000meetnet_Moerassen	IV2017021717285026	MO	Moslaag	30
N2000meetnet_Grasland	IV2017022009530029	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022009530029	MO	Moslaag	1
N2000meetnet_Grasland	IV2017022009530029	NB	Naakte Bodem	0-x-1
N2000meetnet_Grasland	IV2017022010250767	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022010250767	MO	Moslaag	1
N2000meetnet_Grasland	IV2017022010250767	NB	Naakte Bodem	0-x-1
N2000meetnet_Grasland	IV2017022011083153	K	Kruidlaag	65
N2000meetnet_Grasland	IV2017022011083153	MO	Moslaag	0-x-1
N2000meetnet_Grasland	IV2017022011205318	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022011205318	MO	Moslaag	0-x-1
N2000meetnet_Grasland	IV2017022012400428	B	Boomlaag	2
N2000meetnet_Grasland	IV2017022012400428	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022012400428	MO	Moslaag	1
N2000meetnet_Grasland	IV2017022012400428	NB	Naakte Bodem	1
N2000meetnet_Grasland	IV2017022012400428	S	Struiklaag	5
N2000meetnet_Grasland	IV2017022013121858	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022013121858	MO	Moslaag	1
N2000meetnet_Grasland	IV2017022013575286	K	Kruidlaag	70
N2000meetnet_Grasland	IV2017022013575286	MO	Moslaag	70
N2000meetnet_Grasland	IV2017022014150360	K	Kruidlaag	70
N2000meetnet_Grasland	IV2017022014150360	MO	Moslaag	70
N2000meetnet_Grasland	IV2017022015155634	K	Kruidlaag	80
N2000meetnet_Grasland	IV2017022015155634	MO	Moslaag	95
N2000meetnet_Grasland	IV2017022015390187	K	Kruidlaag	80
N2000meetnet_Grasland	IV2017022015390187	MO	Moslaag	95
N2000meetnet_Moerassen	IV2017022111075784	K	Kruidlaag	95
N2000meetnet_Moerassen	IV2017022111075784	MO	Moslaag	40
N2000meetnet_Moerassen	IV2017022111075784	NB	Naakte Bodem	5
N2000meetnet_Moerassen	IV2017022111173825	K	Kruidlaag	90
N2000meetnet_Moerassen	IV2017022111173825	MO	Moslaag	30
N2000meetnet_Moerassen	IV2017022111173825	NB	Naakte Bodem	10
N2000meetnet_Moerassen	IV2017022111173825	S	Struiklaag	5
N2000meetnet_Moerassen	IV2017022111183354	K	Kruidlaag	90
N2000meetnet_Moerassen	IV2017022111183354	MO	Moslaag	30
N2000meetnet_Moerassen	IV2017022111183354	NB	Naakte Bodem	10
N2000meetnet_Moerassen	IV2017022111183354	S	Struiklaag	5
N2000meetnet_Grasland	IV2017022112283578	B	Boomlaag	5
N2000meetnet_Grasland	IV2017022112283578	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017022112283578	MO	Moslaag	5
N2000meetnet_Grasland	IV2017022112545290	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017022112545290	MO	Moslaag	5
N2000meetnet_Grasland	IV2017022115074420	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017022115074420	MO	Moslaag	20
N2000meetnet_Grasland	IV2017022115375527	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017022115375527	MO	Moslaag	20
N2000meetnet_Grasland	IV2017022211082902	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022211082902	MO	Moslaag	60
N2000meetnet_Grasland	IV2017022211385297	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022211385297	MO	Moslaag	60
N2000meetnet_Grasland	IV2017022212325377	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022212325377	MO	Moslaag	5
N2000meetnet_Grasland	IV2017022213011877	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022213011877	MO	Moslaag	5
N2000meetnet_Grasland	IV2017022310474384	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022310474384	MO	Moslaag	5
N2000meetnet_Grasland	IV2017022310474384	STR	Strooisel	2
N2000meetnet_Grasland	IV2017022315312444	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022315312444	MO	Moslaag	5
N2000meetnet_Grasland	IV2017022315312444	STR	Strooisel	1
N2000meetnet_Grasland	IV2017022316243012	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017022316243012	MO	Moslaag	1
N2000meetnet_Grasland	IV2017022316243012	NB	Naakte Bodem	5
N2000meetnet_Grasland	IV2017022318064503	K	Kruidlaag	90
N2000meetnet_Grasland	IV2017022318064503	MO	Moslaag	1
N2000meetnet_Grasland	IV2017022318064503	STR	Strooisel	10
N2000meetnet_Grasland	IV2017022410260914	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022410260914	MO	Moslaag	0-x-1
N2000meetnet_Grasland	IV2017022410260914	NB	Naakte Bodem	1
N2000meetnet_Grasland	IV2017022410371769	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022410371769	MO	Moslaag	0-x-1
N2000meetnet_Grasland	IV2017022411275584	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022411275584	MO	Moslaag	0-x-1
N2000meetnet_Grasland	IV2017022412465341	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022412465341	MO	Moslaag	0-x-1
N2000meetnet_Grasland	IV2017022413245704	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017022413245704	NB	Naakte Bodem	5
N2000meetnet_Grasland	IV2017022413445592	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017022413445592	NB	Naakte Bodem	5
N2000meetnet_Grasland	IV2017022414255992	K	Kruidlaag	99
N2000meetnet_Grasland	IV2017022414255992	NB	Naakte Bodem	1
N2000meetnet_Grasland	IV2017022414402631	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022415170190	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022415170190	MO	Moslaag	5
N2000meetnet_Grasland	IV2017022415353736	K	Kruidlaag	100
N2000meetnet_Grasland	IV2017022415353736	MO	Moslaag	5
N2000meetnet_Grasland_BHM	IV2017112908192809	K	Kruidlaag	70
N2000meetnet_Grasland_BHM	IV2017112908192809	MO	Moslaag	40
N2000meetnet_Grasland_BHM	IV2017112908192809	NB	Naakte Bodem	10
N2000meetnet_Grasland_BHM	IV2017112908460816	K	Kruidlaag	70
N2000meetnet_Grasland_BHM	IV2017112908460816	MO	Moslaag	40
N2000meetnet_Grasland_BHM	IV2017112908460816	NB	Naakte Bodem	10
N2000meetnet_Grasland_BHM	IV2017112912245580	K	Kruidlaag	95
N2000meetnet_Grasland_BHM	IV2017112912245580	MO	Moslaag	10
N2000meetnet_Grasland_BHM	IV2017112912245580	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2017112912245580	S	Struiklaag	1
N2000meetnet_Grasland_BHM	IV2017112912580483	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017112912580483	MO	Moslaag	10
N2000meetnet_Grasland_BHM	IV2017112913404044	K	Kruidlaag	60
N2000meetnet_Grasland_BHM	IV2017112913404044	MO	Moslaag	50
N2000meetnet_Grasland_BHM	IV2017112913583445	K	Kruidlaag	60
N2000meetnet_Grasland_BHM	IV2017112913583445	MO	Moslaag	75
N2000meetnet_Grasland_BHM	IV2017112914094613	K	Kruidlaag	95
N2000meetnet_Grasland_BHM	IV2017112914094613	MO	Moslaag	50
N2000meetnet_Grasland_BHM	IV2017112914372721	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017112914372721	MO	Moslaag	50
N2000meetnet_Grasland_BHM	IV2017112915064012	K	Kruidlaag	90
N2000meetnet_Grasland_BHM	IV2017112915064012	MO	Moslaag	5
N2000meetnet_Grasland_BHM	IV2017112915243954	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017112915243954	MO	Moslaag	5
N2000meetnet_Grasland_BHM	IV2017113008452613	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017113008452613	MO	Moslaag	15
N2000meetnet_Grasland_BHM	IV2017113010102631	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017113010102631	MO	Moslaag	15
N2000meetnet_Grasland_BHM	IV2017113010285455	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017113010285455	MO	Moslaag	80
N2000meetnet_Grasland_BHM	IV2017113011505228	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017113011505228	MO	Moslaag	80
N2000meetnet_Grasland_BHM	IV2017120107565546	K	Kruidlaag	90
N2000meetnet_Grasland_BHM	IV2017120107565546	NB	Naakte Bodem	10
N2000meetnet_Grasland_BHM	IV2017120108115051	K	Kruidlaag	98
N2000meetnet_Grasland_BHM	IV2017120108115051	NB	Naakte Bodem	2
N2000meetnet_Grasland_BHM	IV2017120108515000	K	Kruidlaag	95
N2000meetnet_Grasland_BHM	IV2017120108515000	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2017120109032402	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017120109300668	K	Kruidlaag	50
N2000meetnet_Grasland_BHM	IV2017120109300668	NB	Naakte Bodem	50
N2000meetnet_Grasland_BHM	IV2017120111004036	K	Kruidlaag	60
N2000meetnet_Grasland_BHM	IV2017120111004036	NB	Naakte Bodem	40
N2000meetnet_Grasland_BHM	IV2017120111214650	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017120111214650	MO	Moslaag	20
N2000meetnet_Grasland_BHM	IV2017120111463956	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2017120111463956	MO	Moslaag	20
N2000meetnet_Grasland_BHM	IV2017120111560343	K	Kruidlaag	80
N2000meetnet_Grasland_BHM	IV2017120111560343	MO	Moslaag	70
N2000meetnet_Grasland_BHM	IV2017120112090282	K	Kruidlaag	70
N2000meetnet_Grasland_BHM	IV2017120112090282	MO	Moslaag	90
N2000meetnet_Grasland_BHM	IV2017120112213868	K	Kruidlaag	85
N2000meetnet_Grasland_BHM	IV2017120112213868	MO	Moslaag	20
N2000meetnet_Grasland_BHM	IV2017120112213868	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2017120112213868	S	Struiklaag	1
N2000meetnet_Grasland_BHM	IV2017120112565263	K	Kruidlaag	85
N2000meetnet_Grasland_BHM	IV2017120112565263	MO	Moslaag	20
N2000meetnet_Grasland_BHM	IV2017120112565263	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2017120113271520	B	Boomlaag	60
N2000meetnet_Grasland_BHM	IV2017120113271520	K	Kruidlaag	70
N2000meetnet_Grasland_BHM	IV2017120113271520	MO	Moslaag	30
N2000meetnet_Grasland_BHM	IV2017120113271520	NB	Naakte Bodem	10
N2000meetnet_Grasland_BHM	IV2017120114192219	B	Boomlaag	100
N2000meetnet_Grasland_BHM	IV2017120114192219	K	Kruidlaag	70
N2000meetnet_Grasland_BHM	IV2017120114192219	MO	Moslaag	30
N2000meetnet_Grasland_BHM	IV2017120114192219	NB	Naakte Bodem	5
N2000meetnet_Grasland_BHM	IV2017120114521398	K	Kruidlaag	85
N2000meetnet_Grasland_BHM	IV2017120114521398	MO	Moslaag	90
N2000meetnet_Grasland_BHM	IV2017120117414722	K	Kruidlaag	85
N2000meetnet_Grasland_BHM	IV2017120117414722	MO	Moslaag	90
N2000meetnet_Grasland	IV2017120117561385	B	Boomlaag	5
N2000meetnet_Grasland	IV2017120117561385	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017120117561385	MO	Moslaag	90
N2000meetnet_Grasland	IV2017120117561385	S	Struiklaag	5
N2000meetnet_Grasland	IV2017120118231406	K	Kruidlaag	95
N2000meetnet_Grasland	IV2017120118231406	MO	Moslaag	90
N2000meetnet_Grasland	IV2017120118342938	K	Kruidlaag	80
N2000meetnet_Grasland	IV2017120118342938	MO	Moslaag	80
N2000meetnet_Grasland	IV2017120118520910	K	Kruidlaag	85
N2000meetnet_Grasland	IV2017120118520910	MO	Moslaag	65
N2000meetnet_Grasland_BHM	IV2018022813474152	K	Kruidlaag	70
N2000meetnet_Grasland_BHM	IV2018022813474152	MO	Moslaag	30
N2000meetnet_Grasland_BHM	IV2018022813474152	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2018022813474152	STR	Strooisel	3
N2000meetnet_Grasland_BHM	IV2018030220035638	K	Kruidlaag	70
N2000meetnet_Grasland_BHM	IV2018030220035638	MO	Moslaag	60
N2000meetnet_Grasland_BHM	IV2018030220035638	STR	Strooisel	3
N2000meetnet_Grasland_BHM	IV2018030221003731	K	Kruidlaag	40
N2000meetnet_Grasland_BHM	IV2018030221003731	MO	Moslaag	80
N2000meetnet_Grasland_BHM	IV2018030221003731	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2018030221003731	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2018030221161700	K	Kruidlaag	30
N2000meetnet_Grasland_BHM	IV2018030221161700	MO	Moslaag	90
N2000meetnet_Grasland_BHM	IV2018030221161700	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2018030221161700	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2018030414484080	K	Kruidlaag	60
N2000meetnet_Grasland_BHM	IV2018030414484080	MO	Moslaag	80
N2000meetnet_Grasland_BHM	IV2018030414484080	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2018030414484080	S	Struiklaag	0-x-1
N2000meetnet_Grasland_BHM	IV2018030414484080	STR	Strooisel	10
N2000meetnet_Grasland_BHM	IV2018030415500950	K	Kruidlaag	60
N2000meetnet_Grasland_BHM	IV2018030415500950	MO	Moslaag	80
N2000meetnet_Grasland_BHM	IV2018030415500950	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2018030415500950	S	Struiklaag	2
N2000meetnet_Grasland_BHM	IV2018030415500950	STR	Strooisel	20
N2000meetnet_Grasland_BHM	IV2018030416111323	K	Kruidlaag	95
N2000meetnet_Grasland_BHM	IV2018030416111323	MO	Moslaag	5
N2000meetnet_Grasland_BHM	IV2018030416111323	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2018030416111323	STR	Strooisel	3
N2000meetnet_Grasland_BHM	IV2018030416251801	K	Kruidlaag	95
N2000meetnet_Grasland_BHM	IV2018030416251801	MO	Moslaag	5
N2000meetnet_Grasland_BHM	IV2018030416251801	STR	Strooisel	3
N2000meetnet_Grasland_BHM	IV2018030417514439	K	Kruidlaag	100
N2000meetnet_Grasland_BHM	IV2018030417514439	MO	Moslaag	20
N2000meetnet_Grasland_BHM	IV2018030417514439	S	Struiklaag	0-x-1
N2000meetnet_Grasland_BHM	IV2018030418071744	K	Kruidlaag	98
N2000meetnet_Grasland_BHM	IV2018030418071744	MO	Moslaag	2
N2000meetnet_Grasland_BHM	IV2018030418071744	STR	Strooisel	1
N2000meetnet_Grasland_BHM	IV2018030509282854	K	Kruidlaag	99
N2000meetnet_Grasland_BHM	IV2018030509282854	MO	Moslaag	1
N2000meetnet_Grasland_BHM	IV2018030510512619	K	Kruidlaag	98
N2000meetnet_Grasland_BHM	IV2018030510512619	MO	Moslaag	1
N2000meetnet_Grasland_BHM	IV2018030510512619	NB	Naakte Bodem	1
N2000meetnet_Grasland_BHM	IV2018030511543075	K	Kruidlaag	98
N2000meetnet_Grasland_BHM	IV2018030511543075	MO	Moslaag	3
