survey	recording_givid	plot_id
Schelde-estuarium	IV2014100609392228	ZSCPQ141
Schelde-estuarium	IV2014100609552068	ZSCPQ142
Schelde-estuarium	IV2014100610371352	ZSCPQ143
Schelde-estuarium	IV2014100611042414	ZSCPQ144
Schelde-estuarium	IV2014100611214378	ZSCPQ145
Schelde-estuarium	IV2014100611345220	ZSCPQ146
Schelde-estuarium	IV2014100611504108	ZSCPQ147
Schelde-estuarium	IV2014100612044593	ZSCPQ148
Schelde-estuarium	IV2014100615372310	ZSCPQ149
Schelde-estuarium	IV2014100615524675	ZSCPQ150
Schelde-estuarium	IV2014100616071246	ZSCPQ151
Schelde-estuarium	IV2014100616283664	ZSCPQ152
Schelde-estuarium	IV2014100616415137	ZSCPQ153
Schelde-estuarium	IV2014100708534297	ZSCPQ154
Schelde-estuarium	IV2014100709100876	ZSCPQ156
Schelde-estuarium	IV2014100709220314	ZSCPQ002
Schelde-estuarium	IV2014100709483940	ZSCPQ003
Schelde-estuarium	IV2014100709550490	ZSCPQ004
Schelde-estuarium	IV2014100713324336	ZSCPQ005
Schelde-estuarium	IV2014100713373154	ZSCPQ006
Schelde-estuarium	IV2014100713420044	ZSCPQ007
Schelde-estuarium	IV2014100713481733	ZSCPQ008
Schelde-estuarium	IV2014100713541953	ZSCPQ009
Schelde-estuarium	IV2014100713572342	ZSCPQ010
Schelde-estuarium	IV2014100714022262	ZSCPQ011
Schelde-estuarium	IV2014100714095317	ZSCPQ012
Schelde-estuarium	IV2014100714140516	ZSCPQ013
Schelde-estuarium	IV2014100714343363	ZSCPQ014
Schelde-estuarium	IV2014100715001070	ZSCPQ015
Schelde-estuarium	IV2014100715111359	ZSCPQ016
Schelde-estuarium	IV2014100715194505	ZSCPQ017
Schelde-estuarium	IV2014100715252125	ZSCPQ018
Schelde-estuarium	IV2014100715331484	ZSCPQ019
Schelde-estuarium	IV2014100715374492	ZSCPQ020
Schelde-estuarium	IV2014100909003538	ZSCPQ021
Schelde-estuarium	IV2014100909121196	ZSCPQ022
Schelde-estuarium	IV2014100909303582	ZSCPQ023
Schelde-estuarium	IV2014100909352638	ZSCPQ024
Schelde-estuarium	IV2014100909441488	ZSCPQ025
Schelde-estuarium	IV2014100909585025	ZSCPQ026
Schelde-estuarium	IV2014100910115536	ZSCPQ027
Schelde-estuarium	IV2014100910154971	ZSCPQ028
Schelde-estuarium	IV2014100910214525	ZSCPQ029
Schelde-estuarium	IV2014100910335405	ZSCPQ030
Schelde-estuarium	IV2014100910362129	ZSCPQ031
Schelde-estuarium	IV2014100910495150	ZSCPQ032
Schelde-estuarium	IV2014100910541547	ZSCPQ033
Schelde-estuarium	IV2014100911044028	ZSCPQ034
Schelde-estuarium	IV2014100911095536	ZSCPQ035
Schelde-estuarium	IV2014100911143543	ZSCPQ036
Schelde-estuarium	IV2014100911205725	ZSCPQ037
Schelde-estuarium	IV2014100911255514	ZSCPQ038
Schelde-estuarium	IV2014100911350488	ZSCPQ039
Schelde-estuarium	IV2014100911392352	ZSCPQ040
Schelde-estuarium	IV2014100911455681	ZSCPQ041
Schelde-estuarium	IV2014100911521360	ZSCPQ042
Schelde-estuarium	IV2014100911572888	ZSCPQ043
Schelde-estuarium	IV2014101308454110	ZSCPQ044
Schelde-estuarium	IV2014101308524524	ZSCPQ045
Schelde-estuarium	IV2014101309001483	ZSCPQ047
Schelde-estuarium	IV2014101309093604	ZSCPQ048
Schelde-estuarium	IV2014101309154309	ZSCPQ049
Schelde-estuarium	IV2014101309271220	ZSCPQ050
Schelde-estuarium	IV2014101309393797	ZSCPQ051
Schelde-estuarium	IV2014101309462686	ZSCPQ157
Schelde-estuarium	IV2014101309520749	ZSCPQ158
Schelde-estuarium	IV2014101309560024	ZSCPQ159
Schelde-estuarium	IV2014101310092570	ZSCPQ160
Schelde-estuarium	IV2014101310155122	ZSCPQ161
Schelde-estuarium	IV2014101310230565	ZSCPQ162
Schelde-estuarium	IV2014101310354502	ZSCPQ163
Schelde-estuarium	IV2014101310420510	ZSCPQ164
Schelde-estuarium	IV2014101310482232	ZSCPQ165
Schelde-estuarium	IV2014101310535677	ZSCPQ166
Schelde-estuarium	IV2014101311042731	ZSCPQ167
Schelde-estuarium	IV2014101311101423	ZSCPQ168
Schelde-estuarium	IV2014101311141562	ZSCPQ169
Schelde-estuarium	IV2014101311204876	ZSCPQ170
Schelde-estuarium	IV2014101311242728	ZSCPQ171
Schelde-estuarium	IV2014101311295712	ZSCPQ172
Schelde-estuarium	IV2014101311375311	ZSCPQ173
Schelde-estuarium	IV2014101311500760	ZSCPQ174
Schelde-estuarium	IV2014101311570235	ZSCPQ175
Schelde-estuarium	IV2014101312091315	ZSCPQ176
Schelde-estuarium	IV2014101313400263	ZSCPQ177
Schelde-estuarium	IV2014101313450186	ZSCPQ178
Schelde-estuarium	IV2014101313542398	ZSCPQ179
Schelde-estuarium	IV2014101313590723	ZSCPQ180
Schelde-estuarium	IV2014101314090977	ZSCPQ181
Schelde-estuarium	IV2014101314161906	ZSCPQ182
Schelde-estuarium	IV2014101314244127	ZSCPQ183
Schelde-estuarium	IV2014101314403398	ZSCPQ184
Schelde-estuarium	IV2014101314483585	ZSCPQ185
Schelde-estuarium	IV2014101315031728	ZSCPQ186
Schelde-estuarium	IV2014101315095027	ZSCPQ187
Schelde-estuarium	IV2014101315221470	ZSCPQ188
Schelde-estuarium	IV2014101315294142	ZSCPQ189
Schelde-estuarium	IV2014101315323789	ZSCPQ190
Schelde-estuarium	IV2014101315393892	ZSCPQ191
Schelde-estuarium	IV2014101315450322	ZSCPQ192
Schelde-estuarium	IV2014101315492411	ZSCPQ193
Schelde-estuarium	IV2014101315545123	ZSCPQ194
Schelde-estuarium	IV2014101315581831	ZSCPQ195
Schelde-estuarium	IV2014101316021339	ZSCPQ196
Schelde-estuarium	IV2014101316053223	ZSCPQ197
Schelde-estuarium	IV2014101316104545	ZSCPQ198
Schelde-estuarium	IV2014101316163836	ZSCPQ199
Schelde-estuarium	IV2014101316210292	ZSCPQ200
Schelde-estuarium	IV2014101316244338	ZSCPQ201
Schelde-estuarium	IV2014101316284644	ZSCPQ202
Schelde-estuarium	IV2014101316312845	ZSCPQ203
Schelde-estuarium	IV2014101316384449	ZSCPQ204
Schelde-estuarium	IV2014101316405446	ZSCPQ205
Schelde-estuarium	IV2015090409131669	-9
Schelde-estuarium	IV2015090409150184	-9
Schelde-estuarium	IV2015090409275828	-9
Schelde-estuarium	IV2015090409510055	-9
Schelde-estuarium	IV2016022310410271	-9
Schelde-estuarium	IV2016022310432794	-9
Schelde-estuarium	IV2016022310480661	-9
Schelde-estuarium	IV2016022311154755	-9
Schelde-estuarium	IV2016022311173241	-9
Schelde-estuarium	IV2016022311194050	-9
Schelde-estuarium	IV2016022311301511	-9
Schelde-estuarium	IV2016022311330479	-9
Schelde-estuarium	IV2016022311363189	-9
Schelde-estuarium	IV2016022311455573	-9
Schelde-estuarium	IV2016022311480609	-9
Schelde-estuarium	IV2016022311510914	-9
Schelde-estuarium	IV2016022311552319	-9
Schelde-estuarium	IV2016022312042507	-9
Schelde-estuarium	IV2016022312071621	-9
Schelde-estuarium	IV2016022313523856	-9
Schelde-estuarium	IV2016022313544102	-9
Schelde-estuarium	IV2016022313561437	-9
Schelde-estuarium	IV2016022313590829	-9
Schelde-estuarium	IV2016022315400082	-9
Schelde-estuarium	IV2016022315415820	-9
Schelde-estuarium	IV2016022315452491	-9
Schelde-estuarium	IV2016022315501235	-9
Schelde-estuarium	IV2016022315512691	-9
Schelde-estuarium	IV2016022315540763	-9
Schelde-estuarium	IV2016022315553738	-9
Schelde-estuarium	IV2016022316263448	-9
Schelde-estuarium	IV2016022316375174	-9
Schelde-estuarium	IV2016022316393520	-9
Schelde-estuarium	IV2016022316435918	-9
Schelde-estuarium	IV2016022316454553	-9
Schelde-estuarium	IV2016022317010459	-9
Schelde-estuarium	IV2016022317034262	-9
Schelde-estuarium	IV2016022317045520	-9
Schelde-estuarium	IV2016022317063535	-9
Schelde-estuarium	IV2016022317075146	-9
Schelde-estuarium	IV2016022317102607	-9
Schelde-estuarium	IV2016022317121363	-9
Schelde-estuarium	IV2016022317135180	-9
Schelde-estuarium	IV2016022317160334	-9
Schelde-estuarium	IV2016082611555222	ZSCPQ289
Schelde-estuarium	IV2016082612180319	ZSCPQ288
Schelde-estuarium	IV2016082612202151	ZSCPQ286
Schelde-estuarium	IV2016082612300112	ZSCPQ287
Schelde-estuarium	IV2016082613501141	ZSCPQ290
Schelde-estuarium	IV2016082614071524	ZSCPQ291
Schelde-estuarium	IV2016082614191885	ZSCPQ292
Schelde-estuarium	IV2016082614393858	ZSCPQ293
Schelde-estuarium	IV2016082614462801	ZSCPQ294
Schelde-estuarium	IV2016082615070393	ZSCPQ295
Schelde-estuarium	IV2016082615211853	ZSCPQ296
Schelde-estuarium	IV2016082615224595	ZSCPQ297
Schelde-estuarium	IV2016082615321018	ZSCPQ298
Schelde-estuarium	IV2016082615412703	ZSCPQ299
Schelde-estuarium	IV2016082615420145	ZSCPQ300
Schelde-estuarium	IV2016082615482072	ZSCPQ301
Schelde-estuarium	IV2016112912313178	ZSCPQ366
Schelde-estuarium	IV2016112912590829	ZSCPQ367
Schelde-estuarium	IV2016112913504491	ZSCPQ368
Schelde-estuarium	IV2016112914023389	ZSCPQ369
Schelde-estuarium	IV2016112914291503	ZSCPQ260
Schelde-estuarium	IV2016112914553650	ZSCPQ261
Schelde-estuarium	IV2016112914593182	ZSCPQ262
Schelde-estuarium	IV2016112915051931	ZSCPQ263
Schelde-estuarium	IV2016112915224763	ZSCPQ268
Schelde-estuarium	IV2016112915271030	ZSCPQ267
Schelde-estuarium	IV2016112915314848	ZSCPQ266
Schelde-estuarium	IV2016112915372578	ZSCPQ265
Schelde-estuarium	IV2016112915500077	ZSCPQ264
Schelde-estuarium	IV2016112916065444	ZSCPQ271
Schelde-estuarium	IV2016112916221016	ZSCPQ272
Schelde-estuarium	IV2016112916360396	ZSCPQ270
Schelde-estuarium	IV2016112916493163	ZSCPQ269
Schelde-estuarium	IV2016120512033460	ZSCPQ222
Schelde-estuarium	IV2016120512253758	ZSCPQ223
Schelde-estuarium	IV2016120513550192	ZSCPQ224
Schelde-estuarium	IV2016120513593673	ZSCPQ225
Schelde-estuarium	IV2016120514025089	ZSCPQ226
Schelde-estuarium	IV2016120516150711	ZSCPQ227
Schelde-estuarium	IV2016121209184714	ZSCPQ228
Schelde-estuarium	IV2016121209224823	ZSCPQ229
Schelde-estuarium	IV2016121209285905	ZSCPQ230
Schelde-estuarium	IV2016121209533523	ZSCPQ231
Schelde-estuarium	IV2016121210005704	ZSCPQ232
Schelde-estuarium	IV2016121210065502	ZSCPQ233
Schelde-estuarium	IV2016121210233402	ZSCPQ234
Schelde-estuarium	IV2016121210270759	ZSCPQ235
Schelde-estuarium	IV2016121210295788	ZSCPQ236
Schelde-estuarium	IV2016121210483116	ZSCPQ239
Schelde-estuarium	IV2016121210510504	ZSCPQ238
Schelde-estuarium	IV2016121211101321	ZSCPQ237
Schelde-estuarium	IV2016121211135257	ZSCPQ240
Schelde-estuarium	IV2016121213353352	ZSCPQ241
Schelde-estuarium	IV2016121213410683	ZSCPQ242
Schelde-estuarium	IV2016121213454156	ZSCPQ243
Schelde-estuarium	IV2016121214092447	ZSCPQ244
Schelde-estuarium	IV2016121214153466	ZSCPQ245
Schelde-estuarium	IV2016121214265304	ZSCPQ251
Schelde-estuarium	IV2016121214293707	ZSCPQ250
Schelde-estuarium	IV2016121214593549	ZSCPQ249
Schelde-estuarium	IV2016121215031282	ZSCPQ248
Schelde-estuarium	IV2016121215054565	ZSCPQ246
Schelde-estuarium	IV2016121215485360	ZSCPQ247
Schelde-estuarium	IV2016121215515500	ZSCPQ253
Schelde-estuarium	IV2016121215545130	ZSCPQ252
Schelde-estuarium	IV2016121215582563	ZSCPQ254
Schelde-estuarium	IV2016121216044243	ZSCPQ255
Schelde-estuarium	IV2016121216204483	ZSCPQ256
Schelde-estuarium	IV2016121216243621	ZSCPQ257
Schelde-estuarium	IV2016121216304442	ZSCPQ258
Schelde-estuarium	IV2016121216340009	ZSCPQ259
Schelde-estuarium	IV2016121216420845	ZSCPQ273
Schelde-estuarium	IV2016121216472444	ZSCPQ274
Schelde-estuarium	IV2016121216550869	ZSCPQ302
Schelde-estuarium	IV2016121310230621	ZSCPQ283
Schelde-estuarium	IV2016121310255731	ZSCPQ284
Schelde-estuarium	IV2016121310284262	ZSCPQ285
Schelde-estuarium	IV2016121310504390	ZSCPQ282
Schelde-estuarium	IV2016121310554931	ZSCPQ281
Schelde-estuarium	IV2016121310580986	ZSCPQ280
Schelde-estuarium	IV2016121311022634	ZSCPQ279
Schelde-estuarium	IV2016121311063584	ZSCPQ278
Schelde-estuarium	IV2016121311092263	ZSCPQ275
Schelde-estuarium	IV2016121311132055	ZSCPQ276
Schelde-estuarium	IV2016121311161785	ZSCPQ277
Schelde-estuarium	IV2018082212442286	ZSCPQ366
Schelde-estuarium	IV2018082213112843	ZSCPQ367
Schelde-estuarium	IV2018082213173664	ZSCPQ368
Schelde-estuarium	IV2018082213270175	ZSCPQ369
Schelde-estuarium	IV2018111315350058	ZSCPQ319
Schelde-estuarium	IV2018111407581738	ZSCPQ320
Schelde-estuarium	IV2018111408043701	ZSCPQ321
Schelde-estuarium	IV2018111408053798	ZSCPQ322
Schelde-estuarium	IV2018111408072115	ZSCPQ323
Schelde-estuarium	IV2018111408085978	ZSCPQ324
Schelde-estuarium	IV2018111408102356	ZSCPQ325
Schelde-estuarium	IV2018111410212460	ZSCPQ318
Schelde-estuarium	IV2018111410351858	ZSCPQ317
Schelde-estuarium	IV2018111410391515	ZSCPQ316
Schelde-estuarium	IV2018111410453707	ZSCPQ315
Schelde-estuarium	IV2018111410464587	ZSCPQ314
Schelde-estuarium	IV2018111410473093	ZSCPQ313
Schelde-estuarium	IV2018111410483464	ZSCPQ312
Schelde-estuarium	IV2018111410494430	ZSCPQ311
Schelde-estuarium	IV2018111410522409	ZSCPQ303
Schelde-estuarium	IV2018111410533071	ZSCPQ304
Schelde-estuarium	IV2018111410563269	ZSCPQ305
Schelde-estuarium	IV2018111410575670	ZSCPQ306
Schelde-estuarium	IV2018111411015962	ZSCPQ307
Schelde-estuarium	IV2018111411054143	ZSCPQ308
Schelde-estuarium	IV2018111411071751	ZSCPQ309
Schelde-estuarium	IV2018111411091469	ZSCPQ310
Schelde-estuarium	IV2018111612142267	ZSCPQ319
Schelde-estuarium	IV2018111612163758	ZSCPQ320
Schelde-estuarium	IV2018111612202373	ZSCPQ321
Schelde-estuarium	IV2018111612220739	ZSCPQ322
Schelde-estuarium	IV2018111612263723	ZSCPQ323
Schelde-estuarium	IV2018111612285837	ZSCPQ324
Schelde-estuarium	IV2018111612320352	ZSCPQ325
Schelde-estuarium	IV2018111612362425	ZSCPQ318
Schelde-estuarium	IV2018111612411090	ZSCPQ317
Schelde-estuarium	IV2018111612424852	ZSCPQ316
Schelde-estuarium	IV2018111612435812	ZSCPQ315
Schelde-estuarium	IV2018111612471081	ZSCPQ314
Schelde-estuarium	IV2018111612491051	ZSCPQ313
Schelde-estuarium	IV2018111612503987	ZSCPQ312
Schelde-estuarium	IV2018111612521800	ZSCPQ311
Schelde-estuarium	IV2018111612542475	ZSCPQ303
Schelde-estuarium	IV2018111612560807	ZSCPQ304
Schelde-estuarium	IV2018111612584267	ZSCPQ305
Schelde-estuarium	IV2018111613015132	ZSCPQ306
Schelde-estuarium	IV2018111613044508	ZSCPQ307
Schelde-estuarium	IV2018111613055404	ZSCPQ308
Schelde-estuarium	IV2018111613073450	ZSCPQ309
Schelde-estuarium	IV2018111613092203	ZSCPQ310
Schelde-estuarium	IV2018111620275169	ZSCPQ319
Schelde-estuarium	IV2018111620292137	ZSCPQ320
Schelde-estuarium	IV2018111620320139	ZSCPQ321
Schelde-estuarium	IV2018111620340682	ZSCPQ322
Schelde-estuarium	IV2018111620360077	ZSCPQ323
Schelde-estuarium	IV2018111620370956	ZSCPQ324
Schelde-estuarium	IV2018111620381806	ZSCPQ325
Schelde-estuarium	IV2018111620433542	ZSCPQ318
Schelde-estuarium	IV2018111620460965	ZSCPQ317
Schelde-estuarium	IV2018111620481436	ZSCPQ316
Schelde-estuarium	IV2018111620522922	ZSCPQ315
Schelde-estuarium	IV2018111620593201	ZSCPQ314
Schelde-estuarium	IV2018111621003005	ZSCPQ313
Schelde-estuarium	IV2018111621014439	ZSCPQ312
Schelde-estuarium	IV2018111621025610	ZSCPQ311
Schelde-estuarium	IV2018111621070692	ZSCPQ303
Schelde-estuarium	IV2018111621083978	ZSCPQ304
Schelde-estuarium	IV2018111621121390	ZSCPQ305
Schelde-estuarium	IV2018111621133381	ZSCPQ306
Schelde-estuarium	IV2018111621142994	ZSCPQ307
Schelde-estuarium	IV2018111621175157	ZSCPQ308
Schelde-estuarium	IV2018111621191205	ZSCPQ309
Schelde-estuarium	IV2018111621224026	ZSCPQ310
Schelde-estuarium	IV2019090207195511	ZSCPQ053
Schelde-estuarium	IV2019090207375816	ZSCPQ044
Schelde-estuarium	IV2019090207402598	ZSCPQ054
Schelde-estuarium	IV2019090207504365	ZSCPQ055
Schelde-estuarium	IV2019090208122087	ZSCPQ056
Schelde-estuarium	IV2019090208242828	ZSCPQ043
Schelde-estuarium	IV2019090209055549	ZSCPQ042
Schelde-estuarium	IV2019091708575611	ZSCPQ289
Schelde-estuarium	IV2019091709071889	ZSCPQ288
Schelde-estuarium	IV2019091709342880	ZSCPQ287
Schelde-estuarium	IV2019091709455416	ZSCPQ286
Schelde-estuarium	IV2019091712340974	ZSCPQ290
Schelde-estuarium	IV2019091712413558	ZSCPQ291
Schelde-estuarium	IV2019091712500557	ZSCPQ292
Schelde-estuarium	IV2019091713023726	ZSCPQ293
Schelde-estuarium	IV2019091713091290	ZSCPQ294
Schelde-estuarium	IV2019092313133693	ZSCPQ295
Schelde-estuarium	IV2019092313184402	ZSCPQ296
Schelde-estuarium	IV2019092313271773	ZSCPQ297
Schelde-estuarium	IV2019092313342414	ZSCPQ298
Schelde-estuarium	IV2019092313445241	ZSCPQ299
Schelde-estuarium	IV2019092314022045	ZSCPQ300
Schelde-estuarium	IV2019092314075685	ZSCPQ301
Schelde-estuarium	IV2019092314171120	ZSCPQ260
Schelde-estuarium	IV2019092314233536	ZSCPQ261
Schelde-estuarium	IV2019092314365219	ZSCPQ262
Schelde-estuarium	IV2019092314413993	ZSCPQ263
Schelde-estuarium	IV2019092314505840	ZSCPQ266
Schelde-estuarium	IV2019092314560243	ZSCPQ267
Schelde-estuarium	IV2019101607593833	ZSCPQ319
Schelde-estuarium	IV2019101608054148	ZSCPQ320
Schelde-estuarium	IV2019101608134610	ZSCPQ321
Schelde-estuarium	IV2019101608230204	ZSCPQ322
Schelde-estuarium	IV2019101608263039	ZSCPQ323
Schelde-estuarium	IV2019101608291011	ZSCPQ324
Schelde-estuarium	IV2019101608313875	ZSCPQ325
Schelde-estuarium	IV2019101609044438	ZSCPQ318
Schelde-estuarium	IV2019101609085212	317
Schelde-estuarium	IV2019101609142722	ZSCPQ316
Schelde-estuarium	IV2019101609182526	ZSCPQ315
Schelde-estuarium	IV2019101609194817	ZSCPQ314
Schelde-estuarium	IV2019101609215067	ZSCPQ313
Schelde-estuarium	IV2019101609223247	ZSCPQ312
Schelde-estuarium	IV2019101609260744	ZSCPQ311
Schelde-estuarium	IV2019101609320817	ZSCPQ303
Schelde-estuarium	IV2019101609353234	ZSCPQ304
Schelde-estuarium	IV2019101609420932	ZSCPQ305
Schelde-estuarium	IV2019101609424019	ZSCPQ306
Schelde-estuarium	IV2019101609483604	ZSCPQ307
Schelde-estuarium	IV2019101609531053	ZSCPQ308
Schelde-estuarium	IV2019101610035460	ZSCPQ309
Schelde-estuarium	IV2019101610102440	ZSCPQ310
Schelde-estuarium	IV2019102110191961	ZSCPQ268
Schelde-estuarium	IV2019102110301934	ZSCPQ272
Schelde-estuarium	IV2019102111053558	ZSCPQ271
Schelde-estuarium	IV2019102111105366	ZSCPQ270
Schelde-estuarium	IV2019102111221164	ZSCPQ269
Schelde-estuarium	IV2019102111523707	ZSCPQ264
Schelde-estuarium	IV2019102112032134	ZSCPQ265
Schelde-estuarium	IV2019121213523468	ZSCPQ052
Schelde-estuarium	IV2020010711213817	ZSCPQ057
Schelde-estuarium	IV2020010711291761	ZSCPQ145
Schelde-estuarium	IV2020010711342015	ZSCPQ058
Schelde-estuarium	IV2020010711391324	ZSCPQ059
Schelde-estuarium	IV2020010711453331	ZSCPQ040
Schelde-estuarium	IV2020010712113144	ZSCPQ041
Schelde-estuarium	IV2020010713450690	ZSCPQ139
Schelde-estuarium	IV2020010713570416	ZSCPQ140
Schelde-estuarium	IV2020010714044539	ZSCPQ062
Schelde-estuarium	IV2020010714110084	ZSCPQ063
Schelde-estuarium	IV2020010714202244	ZSCPQ060
Schelde-estuarium	IV2020010714284723	ZSCPQ146
Schelde-estuarium	IV2020010714330362	ZSCPQ147
Schelde-estuarium	IV2020010714531065	ZSCPQ142
Schelde-estuarium	IV2020010718042072	ZSCPQ144
Schelde-estuarium	IV2020010910214312	ZSCPQ148
Schelde-estuarium	IV2020010910275439	ZSCPQ038
Schelde-estuarium	IV2020010910314771	ZSCPQ037
Schelde-estuarium	IV2020010911010064	ZSCPQ067
Schelde-estuarium	IV2020010911083919	ZSCPQ036
Schelde-estuarium	IV2020010911112408	ZSCPQ069
Schelde-estuarium	IV2020010911163204	ZSCPQ068
Schelde-estuarium	IV2020010911323375	ZSCPQ066
Schelde-estuarium	IV2020010911363941	ZSCPQ035
Schelde-estuarium	IV2020010911411931	ZSCPQ065
Schelde-estuarium	IV2020010911453766	ZSCPQ064
Schelde-estuarium	IV2020010911570386	ZSCPQ152
Schelde-estuarium	IV2020012112161254	ZSCPQ151
Schelde-estuarium	IV2020012112323917	ZSCPQ153
Schelde-estuarium	IV2020012114170124	ZSCPQ110
Schelde-estuarium	IV2020012114334612	ZSCPQ111
Schelde-estuarium	IV2020012114453642	ZSCPQ154
Schelde-estuarium	IV2020012114580855	ZSCPQ112
Schelde-estuarium	IV2020012115030279	ZSCPQ156
Schelde-estuarium	IV2020020314580054	ZSCPQ033
Schelde-estuarium	IV2020020315055949	ZSCPQ137
Schelde-estuarium	IV2020020315303063	ZSCPQ135
Schelde-estuarium	IV2020020315360865	ZSCPQ138
Schelde-estuarium	IV2020020315404111	ZSCPQ082
Schelde-estuarium	IV2020020315442164	ZSCPQ032
Schelde-estuarium	IV2020020315495590	ZSCPQ031
Schelde-estuarium	IV2020020315545626	ZSCPQ030
Schelde-estuarium	IV2020020316030960	ZSCPQ046
Schelde-estuarium	IV2020020317083609	ZSCPQ028
Schelde-estuarium	IV2020020317171039	ZSCPQ113
Schelde-estuarium	IV2020021009340753	ZSCPQ027
Schelde-estuarium	IV2020021009460877	ZSCPQ150
Schelde-estuarium	IV2020021009531242	ZSCPQ029
Schelde-estuarium	IV2020021010021352	ZSCPQ149
Schelde-estuarium	IV2020021010095118	ZSCPQ048
Schelde-estuarium	IV2020021010211909	ZSCPQ127
Schelde-estuarium	IV2020021010374920	ZSCPQ026
Schelde-estuarium	IV2020021010485146	ZSCPQ070
Schelde-estuarium	IV2020021010543149	ZSCPQ071
Schelde-estuarium	IV2020021011542573	ZSCPQ072
Schelde-estuarium	IV2020021012070428	ZSCPQ073
Schelde-estuarium	IV2020021012151034	ZSCPQ131
Schelde-estuarium	IV2020021114481196	ZSCPQ074
Schelde-estuarium	IV2020021115001630	ZSCPQ130
Schelde-estuarium	IV2020021115193726	ZSCPQ076
Schelde-estuarium	IV2020021115235922	ZSCPQ077
Schelde-estuarium	IV2020021115374194	ZSCPQ079
Schelde-estuarium	IV2020021115522840	ZSCPQ078
Schelde-estuarium	IV2020021116064470	ZSCPQ128
Schelde-estuarium	IV2020021116120329	ZSCPQ081
Schelde-estuarium	IV2020021116193960	ZSCPQ080
Schelde-estuarium	IV2020021116364125	ZSCPQ120
Schelde-estuarium	IV2020031710412348	ZSCPQ134
Schelde-estuarium	IV2020031710464398	ZSCPQ129
Schelde-estuarium	IV2020031710551491	ZSCPQ075
Schelde-estuarium	IV2020031711153013	ZSCPQ221
Schelde-estuarium	IV2020031711222693	ZSCPQ220
Schelde-estuarium	IV2020031711411172	ZSCPQ025
Schelde-estuarium	IV2020031712004938	ZSCPQ023
Schelde-estuarium	IV2020031712200661	ZSCPQ017
Schelde-estuarium	IV2020031712221215	ZSCPQ106
Schelde-estuarium	IV2020031712265461	ZSCPQ105
Schelde-estuarium	IV2020031712352292	ZSCPQ125
Schelde-estuarium	IV2020031713461538	ZSCPQ022
Schelde-estuarium	IV2020031713594198	ZSCPQ124
Schelde-estuarium	IV2020031714050128	ZSCPQ084
Schelde-estuarium	IV2020031714143993	ZSCPQ119
Schelde-estuarium	IV2020031714212913	ZSCPQ021
Schelde-estuarium	IV2020031715312100	ZSCPQ020
Schelde-estuarium	IV2020031715384664	ZSCPQ126
Schelde-estuarium	IV2020031715481611	ZSCPQ019
Schelde-estuarium	IV2020031715570253	ZSCPQ123
Schelde-estuarium	IV2020031810443953	ZSCPQ122
Schelde-estuarium	IV2020031811221098	ZSCPQ121
Schelde-estuarium	IV2020031811283542	ZSCPQ018
Schelde-estuarium	IV2020031811314719	ZSCPQ086
Schelde-estuarium	IV2020031811471201	ZSCPQ085
Schelde-estuarium	IV2020031812060423	ZSCPQ107
Schelde-estuarium	IV2020031812094746	ZSCPQ108
Schelde-estuarium	IV2020031812192985	ZSCPQ116
Schelde-estuarium	IV2020031812230800	ZSCPQ117
Schelde-estuarium	IV2020031812270834	ZSCPQ115
Schelde-estuarium	IV2020031813124858	ZSCPQ104
Schelde-estuarium	IV2020031813165028	ZSCPQ101
Schelde-estuarium	IV2020031813231356	ZSCPQ099
Schelde-estuarium	IV2020031813284030	ZSCPQ100
Schelde-estuarium	IV2020031813454948	ZSCPQ094
Schelde-estuarium	IV2020031813541953	ZSCPQ093
Schelde-estuarium	IV2020031814172961	ZSCPQ092
Schelde-estuarium	IV2020031814211219	ZSCPQ091
Schelde-estuarium	IV2020031814260556	ZSCPQ090
Schelde-estuarium	IV2020031814345743	ZSCPQ087
Schelde-estuarium	IV2020031814392885	ZSCPQ088
Schelde-estuarium	IV2020031814452880	ZSCPQ089
Schelde-estuarium	IV2020031814492053	ZSCPQ014
Schelde-estuarium	IV2020031815145133	ZSCPQ273
Schelde-estuarium	IV2020031815175124	ZSCPQ274
Schelde-estuarium	IV2020031913204593	ZSCPQ302
Schelde-estuarium	IV2020031913223878	ZSCPQ277
Schelde-estuarium	IV2020031914552465	ZSCPQ276
Schelde-estuarium	IV2020032309140946	ZSCPQ275
Schelde-estuarium	IV2020032309160515	ZSCPQ278
Schelde-estuarium	IV2020032309253073	ZSCPQ279
Schelde-estuarium	IV2020032309285757	ZSCPQ280
Schelde-estuarium	IV2020032309314297	ZSCPQ281
Schelde-estuarium	IV2020032309495224	ZSCPQ282
Schelde-estuarium	IV2020032309533022	ZSCPQ285
Schelde-estuarium	IV2020032310022963	ZSCPQ284
Schelde-estuarium	IV2020032310055701	ZSCPQ283
Schelde-estuarium	IV2020032310080684	ZSCPQ158
Schelde-estuarium	IV2020032310110217	ZSCPQ159
Schelde-estuarium	IV2020032310134076	ZSCPQ160
Schelde-estuarium	IV2020032310181036	ZSCPQ161
Schelde-estuarium	IV2020032310231060	ZSCPQ162
Schelde-estuarium	IV2020032310262531	ZSCPQ197
Schelde-estuarium	IV2020032310320521	ZSCPQ196
Schelde-estuarium	IV2020032310342755	ZSCPQ198
Schelde-estuarium	IV2020032310392633	ZSCPQ199
Schelde-estuarium	IV2020032311082588	ZSCPQ194
