ID	survey	record_id_square	record_id_circle	date	type_observed	subtype_defined	type_cover	type_cover_all	is_type_target	is_maintype_target	any_type_target	n_type_target	cover_target	Habitattype
1569666_2014-05-23	anb	1569666_2014-05-23	1569666_2014-05-23	16213	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1569666_2022-06-07	anb	1569666_2022-06-07	1569666_2022-06-07	19150	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1576886_2017-07-31	N2000meetnet_Moeras_BHM	IV2018031021192601	IV2018031015311631	17378	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1583446_2016-07-19	N2000meetnet_Grasland	IV2017022011205318	IV2017022011083153	17001	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1583446_2023-07-05	N2000meetnet_Grasland_BHM	IV2023070521100157	IV2023070521090020	19543	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1593478_2019-07-08	N2000meetnet_Grasland_BHM	IV2020032011534393	IV2020032011314056	18085	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1594037_1330_hpr_2019-10-29	N2000meetnet_Grasland_BHM	IV2020041113092546	IV2020041112571226	18198	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1618054_2015-05-28	N2000meetnet_Grasland	IV2017021017031808	IV2017021016462422	16583	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1618054_2022-07-04	N2000meetnet_Grasland_BHM	IV2022091211054034	IV2022091211043984	19177	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1618818_2014-06-03	anb	1618818_2014-06-03	1618818_2014-06-03	16224	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1618818_2022-06-03	anb	1618818_2022-06-03	1618818_2022-06-03	19146	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1627010_2018-05-31	N2000meetnet_Grasland_BHM	IV2019031107520890	IV2019031107334255	17682	6230_hnk	1	100	100% 6230_hnk	1	1	1	1	100	6230_hnk
162790_2014-05-23	anb	162790_2014-05-23	162790_2014-05-23	16213	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
162790_2020-05-21	N2000_6510_droogte	IV2022062811562012	IV2022062811530121	18403	6510	0	100	100% 6510	0	1	0	0	0	6510_hu
162790_2020-05-21	N2000_6510_droogte	IV2022062811562012	IV2022062811530121	18403	6510	0	100	100% 6510	0	1	0	0	0	6510_hua
162790_2020-05-21	N2000_6510_droogte	IV2022062811562012	IV2022062811530121	18403	6510	0	100	100% 6510	0	1	0	0	0	6510_huk
162790_2020-05-21	N2000_6510_droogte	IV2022062811562012	IV2022062811530121	18403	6510	0	100	100% 6510	0	1	0	0	0	6510_hus
1631954_2019-07-04	N2000meetnet_Grasland_BHM	IV2020032311244871	IV2020032311123998	18081	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1634546_2018-06-05	N2000meetnet_Grasland_BHM	IV2019030512341370	IV2019030512211555	17687	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1635254_2015-09-21	N2000meetnet_Moerassen	IV2017021716440979	IV2017021716250537	16699	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1635254_2022-08-26	N2000meetnet_Moeras_BHM	IV2022090915345985	IV2022090915315691	19230	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1642233_2018-05-31	N2000meetnet_Grasland_BHM	IV2019010208185391	IV2019010208003898	17682	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1642233_2024-06-28	N2000meetnet_Grasland_BHM	IV2024062911282637	IV2024062911272285	19902	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
1653761_2020-08-18	N2000meetnet_Grasland_BHM	IV2021012613144954	IV2021012613043268	18492	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1660114_2019-07-10	N2000meetnet_Grasland_BHM	IV2020031909490502	IV2020031909571819	18087	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1660950_2017-06-23	N2000meetnet_Grasland_BHM	IV2017112914372721	IV2017112914094613	17340	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1667357_2018-06-14	N2000meetnet_Grasland_BHM	IV2019010315285888	IV2019010315193502	17696	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1676498_2019-07-10	N2000meetnet_Grasland_BHM	IV2020031819314141	IV2020031819350053	18087	6230_hn	1	70	30% 4030; 70% 6230_hn	1	1	1	1	70	6230_hn
1677870_2018-06-13	N2000meetnet_Moeras_BHM	IV2019010407103073	IV2019010406472400	17695	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1685137_2018-05-23	anb	1685137_2018-05-23	1685137_2018-05-23	17674	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
1700533_2020-08-28	N2000meetnet_Grasland_BHM	IV2021012615342454	IV2021012615291966	18502	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
170798_2016-09-13	N2000meetnet_Moerassen	IV2017020319064156	IV2017020318560367	17057	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
170798_2023-10-16	N2000meetnet_Moeras_BHM	IV2023112418265117	IV2023112418245116	19646	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1711014_2016-08-23	N2000meetnet_Grasland	IV2017020120160542	IV2017020116071546	17036	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1713874_2019-07-04	N2000meetnet_Grasland_BHM	IV2020032311013628	IV2020032310590850	18081	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1715637_2018-06-28	N2000meetnet_Grasland_BHM	IV2019010314210644	IV2019010314170327	17710	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1723446_2019-05-27	N2000meetnet_Grasland_BHM	IV2020022017152138	IV2020022017031551	18043	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1742034_2019-07-10	N2000meetnet_Grasland_BHM	IV2020031819524559	IV2020031819561395	18087	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
17475649_2015-07-10	N2000meetnet_Grasland	IV2017010916362743	IV2017010915000761	16626	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
1749942_2015-09-17	N2000meetnet_Moerassen	IV2017021712152647	IV2017021712024375	16695	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1750129_2018-06-29	N2000meetnet_Grasland_BHM	IV2019011413085987	IV2019011412165950	17711	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1761206_2018-07-05	N2000meetnet_Moeras_BHM	IV2019020110485762	IV2019013112081884	17717	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1766326_2018-07-12	N2000meetnet_Moeras_BHM	IV2019020508032046	IV2019020415303598	17724	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1785525_2018-07-04	N2000meetnet_Grasland_BHM	IV2019010312172058	IV2019010311595752	17716	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1793318_2016-06-22	anb	1793318_2016-06-22	1793318_2016-06-22	16974	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
1793746_2020-07-22	N2000meetnet_Grasland_BHM	IV2020122113221711	IV2020122112472941	18465	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1799154_2019-07-04	N2000meetnet_Grasland_BHM	IV2020031719500185	IV2020031720210794	18081	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1820185_2018-06-11	anb	1820185_2018-06-11	1820185_2018-06-11	17693	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
182054_2018-05-23	anb	182054_2018-05-23	182054_2018-05-23	17674	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1826514_2020-07-15	N2000meetnet_Grasland_BHM	IV2020121615412279	IV2020121514561916	18458	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1829622_2018-05-15	N2000meetnet_Moeras_BHM	IV2019010911305760	IV2019010911142819	17666	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1830581_2018-07-04	N2000meetnet_Grasland_BHM	IV2019010312395304	IV2019010312332852	17716	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
183733_2022-09-21	N2000meetnet_Grasland_BHM	IV2022092720593778	IV2022092720573255	19256	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
183734_2018-06-06	anb	183734_2018-06-06	183734_2018-06-06	17688	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1839666_2018-06-07	N2000meetnet_Moeras_BHM	IV2019020510153108	IV2019020509150134	17689	7140_meso	1	90	90% 7140_meso; 10% rbbsm	1	1	1	1	90	7140_meso
18546_2014-06-05	anb	18546_2014-06-05	18546_2014-06-05	16226	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
18546_2020-05-20	N2000_6510_droogte	IV2021110917154384	IV2021110917122240	18402	6510	0	100	100% 6510	0	1	0	0	0	6510_hu
18546_2020-05-20	N2000_6510_droogte	IV2021110917154384	IV2021110917122240	18402	6510	0	100	100% 6510	0	1	0	0	0	6510_hua
18546_2020-05-20	N2000_6510_droogte	IV2021110917154384	IV2021110917122240	18402	6510	0	100	100% 6510	0	1	0	0	0	6510_huk
18546_2020-05-20	N2000_6510_droogte	IV2021110917154384	IV2021110917122240	18402	6510	0	100	100% 6510	0	1	0	0	0	6510_hus
18546_2022-06-09	anb	18546_2022-06-09	18546_2022-06-09	19152	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
186850_2018-06-20	anb	186850_2018-06-20	186850_2018-06-20	17702	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1872565_2018-06-28	N2000meetnet_Grasland_BHM	IV2019010313395896	IV2019010313212559	17710	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
188062_2022-07-29	N2000meetnet_Grasland_BHM	IV2022092721103894	IV2022092721093673	19202	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1884126_2016-08-02	N2000meetnet_Grasland	IV2017021417294457	IV2017021417070556	17015	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1885721_2019-06-04	anb	1885721_2019-06-04	1885721_2019-06-04	18051	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
1887022_2018-06-13	N2000meetnet_Grasland_BHM	IV2018121816195764	IV2018121815572118	17695	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1905938_2016-06-09	anb	1905938_2016-06-09	1905938_2016-06-09	16961	6510	0	NA	NA	0	1	0	0	NA	6510_hu
1905938_2016-06-09	anb	1905938_2016-06-09	1905938_2016-06-09	16961	6510	0	NA	NA	0	1	0	0	NA	6510_hua
1905938_2016-06-09	anb	1905938_2016-06-09	1905938_2016-06-09	16961	6510	0	NA	NA	0	1	0	0	NA	6510_huk
1905938_2016-06-09	anb	1905938_2016-06-09	1905938_2016-06-09	16961	6510	0	NA	NA	0	1	0	0	NA	6510_hus
1905938_2023-06-09	anb	1905938_2023-06-09	1905938_2023-06-09	19517	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
190902_2018-06-06	anb	190902_2018-06-06	190902_2018-06-06	17688	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
1913782_2018-07-10	N2000meetnet_Moeras_BHM	IV2019020119240586	IV2019020111131657	17722	7140_meso	1	99	99% 7140_meso	1	1	1	1	99	7140_meso
1927030_2018-07-05	N2000meetnet_Moeras_BHM	IV2019010408132142	IV2019010408021541	17717	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
1928193_2018-06-29	N2000meetnet_Grasland_BHM	IV2019010313083140	IV2019010312545285	17711	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1933238_2020-09-02	N2000meetnet_Grasland_BHM	IV2020122311131184	IV2020122308124078	18507	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1936821_2018-06-28	N2000meetnet_Grasland_BHM	IV2019010314495413	IV2019010314442127	17710	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1938478_2015-07-08	N2000meetnet_Grasland	IV2017021316354132	IV2017021316192193	16624	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
1945013_2018-06-28	N2000meetnet_Grasland_BHM	IV2019010315090270	IV2019010314572854	17710	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
1947634_2020-09-10	N2000meetnet_Moeras_BHM	IV2021010413272392	IV2021010413144545	18515	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
1950913_2021-07-06	N2000meetnet_Grasland_BHM	IV2022032313075502	IV2022032312524429	18814	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
19510_2016-09-08	N2000meetnet_Grasland	IV2017010617551993	IV2017010616490548	17052	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
19510_2023-10-09	N2000meetnet_Grasland_BHM	IV2023100916442261	IV2023100916404773	19639	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
1951958_2020-10-09	N2000meetnet_Grasland_BHM	IV2021012514345931	IV2021012511485933	18544	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
1971474_2016-06-08	anb	1971474_2016-06-08	1971474_2016-06-08	16960	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
1971474_2023-06-07	anb	1971474_2023-06-07	1971474_2023-06-07	19515	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
198930_2022-09-26	N2000meetnet_Grasland_BHM	IV2022092720553467	IV2022092720533326	19261	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
201006_2016-06-27	N2000meetnet_Grasland	IV2017012011231757	IV2017012010235498	16979	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
201006_2024-06-25	N2000meetnet_Grasland_BHM	IV2024062806512818	IV2024062806492330	19899	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
2011870_2018-06-05	N2000meetnet_Moeras_BHM	IV2019010315520211	IV2019010315434974	17687	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
2016242_2020-07-22	N2000meetnet_Grasland_BHM	IV2020122115035050	IV2020122114152043	18465	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
2016390_2019-07-08	N2000meetnet_Grasland_BHM	IV2020032015024795	IV2020032014241414	18085	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
2018749_2020-10-15	N2000meetnet_Grasland_BHM	IV2021012516232562	IV2021012516174650	18550	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
201938_2022-08-26	N2000meetnet_Grasland_BHM	IV2022090915335608	IV2022090915325501	19230	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
20217_2016-05-31	anb	20217_2016-05-31	20217_2016-05-31	16952	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
20217_2020-05-21	N2000_6510_droogte	IV2022062815124587	IV2022062815105803	18403	6510_hu	1	100	100% 6510_hu	1	1	1	1	100	6510_hu
2037393_2019-06-05	anb	2037393_2019-06-05	2037393_2019-06-05	18052	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
20390_2021-07-29	N2000meetnet_Grasland_BHM	IV2022032110531118	IV2022032109521908	18837	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
2056822_2019-11-14	N2000meetnet_Moeras_BHM	IV2020021211170625	IV2020021210415831	18214	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
206134_2014-06-12	anb	206134_2014-06-12	206134_2014-06-12	16233	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
2070830_2020-08-06	N2000meetnet_Grasland_BHM	IV2020092311350272	IV2020092311165970	18480	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
207406_2016-09-19	N2000meetnet_Grasland	IV2017012710254898	IV2017012709434540	17063	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
2080902_2020-07-09	N2000meetnet_Grasland_BHM	IV2020092116020052	IV2020092113420530	18452	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
2088658_2020-07-22	N2000meetnet_Grasland_BHM	IV2020122116072342	IV2020122115555943	18465	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
212661_2015-08-13	N2000meetnet_Grasland	IV2017010617362713	IV2017010617282387	16660	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
212661_2022-07-31	N2000meetnet_Grasland_BHM	IV2022092721103679	IV2022092721093320	19204	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
2130550_2019-11-14	N2000meetnet_Moeras_BHM	IV2020021211431471	IV2020021211314188	18214	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
2133734_2016-07-26	N2000meetnet_Grasland	IV2017011916185487	IV2017011915010675	17008	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
2133926_2017-07-20	N2000meetnet_Grasland_BHM	IV2018030512111847	IV2018030511543075	17367	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
2136622_2019-08-01	N2000meetnet_Moeras_BHM	IV2020021215272236	IV2020021212123304	18109	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
2143233_1330_hpr_2019-10-17	N2000meetnet_Grasland_BHM	IV2020041115424322	IV2020041113414042	18186	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
2156242_2020-07-23	N2000meetnet_Grasland_BHM	IV2020122119081874	IV2020122119041715	18466	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
2160774_2016-07-06	N2000meetnet_Grasland	IV2017022315312444	IV2017022310474384	16988	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
216118_2018-05-25	anb	216118_2018-05-25	216118_2018-05-25	17676	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
2163698_2020-07-24	N2000meetnet_Grasland_BHM	IV2020122120080835	IV2020122119483530	18467	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
2173889_2016-08-30	N2000meetnet_Grasland	IV2017020308555607	IV2017020308164723	17043	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
2173889_2024-06-19	N2000meetnet_Grasland_BHM	IV2024062806512918	IV2024062806502574	19893	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
218086_2019-06-12	anb	218086_2019-06-12	218086_2019-06-12	18059	6510	0	NA	NA	0	1	0	0	NA	6510_hu
218086_2019-06-12	anb	218086_2019-06-12	218086_2019-06-12	18059	6510	0	NA	NA	0	1	0	0	NA	6510_hua
218086_2019-06-12	anb	218086_2019-06-12	218086_2019-06-12	18059	6510	0	NA	NA	0	1	0	0	NA	6510_huk
218086_2019-06-12	anb	218086_2019-06-12	218086_2019-06-12	18059	6510	0	NA	NA	0	1	0	0	NA	6510_hus
2192370_2020-07-24	N2000meetnet_Grasland_BHM	IV2020122215523497	IV2020122215401630	18467	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
2201202_2020-05-27	anb	2201202_2020-05-27	2201202_2020-05-27	18409	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
220786_2016-06-17	anb	220786_2016-06-17	220786_2016-06-17	16969	6510_huk	1	NA	NA	1	1	1	1	NA	6510_huk
220882_2016-08-18	N2000meetnet_Grasland	IV2017012611360478	IV2017012611170830	17031	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
2225078_2015-09-18	N2000meetnet_Moerassen	IV2017021717285026	IV2017021716580390	16696	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
222518_2017-07-25	N2000meetnet_Moeras_BHM	IV2018031010191687	IV2018031010111411	17372	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
2233618_2016-06-10	anb	2233618_2016-06-10	2233618_2016-06-10	16962	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
2233618_2023-06-09	anb	2233618_2023-06-09	2233618_2023-06-09	19517	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
2239241_1330_hpr_2019-10-29	N2000meetnet_Grasland_BHM	IV2020041110473755	IV2020041110291283	18198	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
225246_2022-08-23	N2000meetnet_Grasland_BHM	IV2022092721033725	IV2022092721013421	19227	6230_ha	1	100	100% 6230_ha	1	1	1	1	100	6230_ha
226262_2022-08-24	N2000meetnet_Grasland_BHM	IV2022092721014112	IV2022092720593429	19228	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
2264998_2017-07-20	N2000meetnet_Grasland_BHM	IV2018030513530737	IV2018030513285216	17367	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
2270930_2019-07-04	N2000meetnet_Moeras_BHM	IV2020030914144636	IV2020030915461539	18081	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
2299537_2019-06-05	anb	2299537_2019-06-05	2299537_2019-06-05	18052	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
23086_2016-09-19	N2000meetnet_Moerassen	IV2017012711193298	IV2017012711062779	17063	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
23086_2023-07-16	N2000meetnet_Moeras_BHM	IV2023112418270281	IV2023112418255461	19554	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
231702_2014-05-27	anb	231702_2014-05-27	231702_2014-05-27	16217	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
2318966_2019-11-14	N2000meetnet_Moeras_BHM	IV2020021210331572	IV2020020718203772	18214	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
2328854_2014-05-27	anb	2328854_2014-05-27	2328854_2014-05-27	16217	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
2328854_2022-05-30	anb	2328854_2022-05-30	2328854_2022-05-30	19142	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
2333697_1330_hpr_2019-10-31	N2000meetnet_Grasland_BHM	IV2020041116082534	IV2020041115493559	18200	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
2334002_2016-06-20	N2000meetnet_Grasland	IV2017022413445592	IV2017022413245704	16972	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
2334854_2017-06-29	N2000meetnet_Grasland_BHM	IV2017120112090282	IV2017120111560343	17346	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
2364085_1330_hpr_2019-10-29	N2000meetnet_Grasland_BHM	IV2020041113340690	IV2020041113212633	18198	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
236657_2020-06-04	anb	236657_2020-06-04	236657_2020-06-04	18417	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
236742_2021-07-27	N2000meetnet_Grasland_BHM	IV2022032311334666	IV2022032310310813	18835	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
2371634_2016-07-18	N2000meetnet_Grasland	IV2017022010250767	IV2017022009530029	17000	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
239901_2023-06-05	anb	239901_2023-06-05	239901_2023-06-05	19513	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
2410009_2019-06-06	anb	2410009_2019-06-06	2410009_2019-06-06	18053	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
242262_2023-06-12	anb	242262_2023-06-12	242262_2023-06-12	19520	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
2435666_2021-07-07	N2000meetnet_Grasland_BHM	IV2022031009405074	IV2022031008503476	18815	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
243758_2021-08-18	N2000meetnet_Grasland_BHM	IV2022032312073377	IV2022032311463148	18857	6230_ha	1	60	40% gh; 60% 6230_ha	1	1	1	1	60	6230_ha
243758_2024-06-25	N2000meetnet_Grasland_BHM	IV2024062911282307	IV2024062806502408	19899	6230_ha	1	60	60% 6230_ha	1	1	1	1	60	6230_ha
2438198_2015-06-11	N2000meetnet_Grasland	IV2017010911343112	IV2017010911112595	16597	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
243846_2014-05-22	anb	243846_2014-05-22	243846_2014-05-22	16212	6510_hu	1	NA	NA	1	1	1	1	NA	6510_hu
243846_2020-05-27	N2000_6510_droogte	IV2022062812122000	IV2022062812094917	18409	6510	0	100	100% 6510	0	1	0	0	0	6510_hu
243846_2020-05-27	N2000_6510_droogte	IV2022062812122000	IV2022062812094917	18409	6510	0	100	100% 6510	0	1	0	0	0	6510_hua
243846_2020-05-27	N2000_6510_droogte	IV2022062812122000	IV2022062812094917	18409	6510	0	100	100% 6510	0	1	0	0	0	6510_huk
243846_2020-05-27	N2000_6510_droogte	IV2022062812122000	IV2022062812094917	18409	6510	0	100	100% 6510	0	1	0	0	0	6510_hus
2440689_2018-06-14	anb	2440689_2018-06-14	2440689_2018-06-14	17696	6510_hua	1	NA	NA	1	1	1	1	NA	6510_hua
2441398_2020-07-31	N2000meetnet_Grasland_BHM	IV2020122219451167	IV2020122217382627	18474	6230_hn	1	100	100% 6230_hn	1	1	1	1	100	6230_hn
2447382_2018-06-18	N2000meetnet_Grasland_BHM	IV2019010308412535	IV2019010308222329	17700	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
2454238_2020-10-23	N2000meetnet_Moeras_BHM	IV2021012815431028	IV2021012815295167	18558	7140_oli	1	100	100% 7140_oli	1	1	1	1	100	7140_oli
2468182_2015-05-29	N2000meetnet_Grasland	IV2017021009570606	IV2017021009391220	16584	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
2468182_2022-06-24	N2000meetnet_Grasland_BHM	IV2022062707581563	IV2022062707565791	19167	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
2479154_2016-06-16	N2000meetnet_Grasland	IV2017022414402631	IV2017022414255992	16968	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
2495762_2016-06-14	anb	2495762_2016-06-14	2495762_2016-06-14	16966	6510_hus	1	NA	NA	1	1	1	1	NA	6510_hus
2500918_2019-07-05	N2000meetnet_Moeras_BHM	IV2020021416372690	IV2020021416312620	18082	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
2534662_2021-07-27	N2000meetnet_Grasland_BHM	IV2022032120524892	NA	18835	6410_mo	1	100	100% 6410_mo	1	1	1	1	100	6410_mo
253621_2022-09-20	N2000meetnet_Grasland_BHM	IV2022092721013740	IV2022092720593419	19255	1330_hpr	1	100	100% 1330_hpr	1	1	1	1	100	1330_hpr
2541138_2020-07-23	N2000meetnet_Moeras_BHM	IV2021010409345523	IV2021010409200790	18466	7140_meso	1	100	100% 7140_meso	1	1	1	1	100	7140_meso
2552758_2020-09-10	N2000meetnet_Moeras_BHM	IV2021010512104789	IV2021010511565020	18515	7140_oli	1	1	99% 4010; 1% 7140_oli	1	1	1	1	1	7140_oli
2552882_2016-07-13	N2000meetnet_Grasland	IV2017021521571275	IV2017021521415567	16995	6410	0	100	100% 6410	0	1	0	0	0	6410_mo
255826_2022-08-03	N2000meetnet_Grasland_BHM	IV2022091211053882	IV2022091211043460	19207	6230_hmo	1	100	100% 6230_hmo	1	1	1	1	100	6230_hmo
