"";"ID";"Criterium";"Indicator";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid"
"1026";"IV2019100111354307";"Verstoring";"verzuring";"bedekking verzuring";"10";"Percentage";NA;"%"
"1027";"IV2019100111453143";"Structuur";"verticale structuur";"bedekking helofyten";"5";"Percentage";NA;"%"
"1028";"IV2019100111453143";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"85";"Percentage";NA;"%"
"1029";"IV2019100111453143";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1030";"IV2019100111453143";"Verstoring";"verzuring";"bedekking verzuring";"3";"Percentage";NA;"%"
"1031";"IV2019100111490964";"Structuur";"verticale structuur";"bedekking helofyten";"5";"Percentage";NA;"%"
"1032";"IV2019100111490964";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"85";"Percentage";NA;"%"
"1033";"IV2019100111490964";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1034";"IV2019100112032024";"Structuur";"verticale structuur";"bedekking helofyten";"70";"Percentage";NA;"%"
"1035";"IV2019100112032024";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"35";"Percentage";NA;"%"
"1036";"IV2019100112032024";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"40";"Percentage";NA;"%"
"1037";"IV2019100112032024";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"1038";"IV2019100112075213";"Structuur";"verticale structuur";"bedekking helofyten";"70";"Percentage";NA;"%"
"1039";"IV2019100112075213";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"25";"Percentage";NA;"%"
"1040";"IV2019100112075213";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"40";"Percentage";NA;"%"
"1041";"IV2019100112164262";"Structuur";"verticale structuur";"bedekking helofyten";"1";"Percentage";NA;"%"
"1042";"IV2019100112164262";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"1043";"IV2019100112164262";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"5";"Percentage";NA;"%"
"1044";"IV2019100112164262";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1045";"IV2019100112171755";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1046";"IV2019100112171755";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"5";"Percentage";NA;"%"
"1047";"IV2019100112171755";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"0.5";"Percentage";NA;"%"
"1048";"IV2019100112171755";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1049";"IV2019100406581958";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1050";"IV2019100406581958";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1051";"IV2019100406581958";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"3";"Percentage";NA;"%"
"1052";"IV2019100406581958";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"1053";"IV2019100407044021";"Structuur";"verticale structuur";"bedekking helofyten";"2";"Percentage";NA;"%"
"1054";"IV2019100407044021";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"6";"Percentage";NA;"%"
"1055";"IV2019100407044021";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"65";"Percentage";NA;"%"
"1056";"IV2019100407044021";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"1057";"IV2019100407101015";"Structuur";"verticale structuur";"bedekking helofyten";"0.5";"Percentage";NA;"%"
"1058";"IV2019100407101015";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"7";"Percentage";NA;"%"
"1059";"IV2019100407101015";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"10";"Percentage";NA;"%"
"1060";"IV2019100407203298";"Structuur";"verticale structuur";"bedekking helofyten";"50";"Percentage";NA;"%"
"1061";"IV2019100407203298";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"40";"Percentage";NA;"%"
"1062";"IV2019100407203298";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1063";"IV2019100407203298";"Verstoring";"verzuring";"bedekking verzuring";"25";"Percentage";NA;"%"
"1064";"IV2019100407263017";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"40";"Percentage";NA;"%"
"1065";"IV2019100407263017";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1066";"IV2019100407263017";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"1";"Percentage";NA;"%"
"1067";"IV2019100407263017";"Verstoring";"verzuring";"bedekking verzuring";"25";"Percentage";NA;"%"
"1068";"IV2019100407370381";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"16";"Percentage";NA;"%"
"1069";"IV2019100407370381";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1070";"IV2019100407370381";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"80";"Percentage";NA;"%"
"1071";"IV2019100407370381";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1072";"IV2019102908040675";"Structuur";"verticale structuur";"bedekking helofyten";"0.5";"Percentage";NA;"%"
"1073";"IV2019102908040675";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1074";"IV2019102908040675";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1075";"IV2019102908381915";"Structuur";"verticale structuur";"bedekking helofyten";"4";"Percentage";NA;"%"
"1076";"IV2019102908381915";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"1077";"IV2019102908381915";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"85";"Percentage";NA;"%"
"1078";"IV2019102908381915";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1079";"IV2019102909140237";"Structuur";"verticale structuur";"bedekking helofyten";"2";"Percentage";NA;"%"
"1080";"IV2019102909140237";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1081";"IV2019102909140237";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1082";"IV2019102909140237";"Verstoring";"verzuring";"bedekking verzuring";"15";"Percentage";NA;"%"
"1083";"IV2019102909351981";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1084";"IV2019102909351981";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1085";"IV2019102909351981";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"1";"Percentage";NA;"%"
"1086";"IV2019102909351981";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1087";"IV2019102914171224";"Structuur";"verticale structuur";"bedekking helofyten";"3";"Percentage";NA;"%"
"1088";"IV2019102914171224";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1089";"IV2019102914171224";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1090";"IV2019102914251364";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"1091";"IV2019102914251364";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1092";"IV2019102914251364";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"5";"Percentage";NA;"%"
"1093";"IV2019102914251364";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"1094";"IV2019102914385814";"Structuur";"verticale structuur";"bedekking helofyten";"45";"Percentage";NA;"%"
"1095";"IV2019102914385814";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"35";"Percentage";NA;"%"
"1096";"IV2019102914385814";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1097";"IV2019102914385814";"Verstoring";"verzuring";"bedekking verzuring";"3";"Percentage";NA;"%"
"1098";"IV2019102914495301";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"35";"Percentage";NA;"%"
"1099";"IV2019102914495301";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1100";"IV2019102914495301";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"5";"Percentage";NA;"%"
"1101";"IV2019102914495301";"Verstoring";"verzuring";"bedekking verzuring";"2";"Percentage";NA;"%"
"1102";"IV2019102915313847";"Structuur";"verticale structuur";"bedekking helofyten";"0.5";"Percentage";NA;"%"
"1103";"IV2019102915313847";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1104";"IV2019102915313847";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"1";"Percentage";NA;"%"
"1105";"IV2019102915495051";"Structuur";"verticale structuur";"bedekking helofyten";"10";"Percentage";NA;"%"
"1106";"IV2019102915495051";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"65";"Percentage";NA;"%"
"1107";"IV2019102915495051";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1108";"IV2019102916003956";"Structuur";"verticale structuur";"bedekking helofyten";"20";"Percentage";NA;"%"
"1109";"IV2019102916003956";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"40";"Percentage";NA;"%"
"1110";"IV2019102916003956";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1111";"IV2019102916032344";"Structuur";"verticale structuur";"bedekking helofyten";"33";"Percentage";NA;"%"
"1112";"IV2019102916032344";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"90";"Percentage";NA;"%"
"1113";"IV2019102916032344";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1114";"IV2019102916072782";"Structuur";"verticale structuur";"bedekking helofyten";"10";"Percentage";NA;"%"
"1115";"IV2019102916072782";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"1116";"IV2019102916072782";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"3";"Percentage";NA;"%"
"1117";"IV2019102916124425";"Structuur";"verticale structuur";"bedekking helofyten";"40";"Percentage";NA;"%"
"1118";"IV2019102916124425";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"40";"Percentage";NA;"%"
"1119";"IV2019102916124425";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"2";"Percentage";NA;"%"
"1120";"IV2019102916124425";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"1121";"IV2019103117514907";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"20";"Percentage";NA;"%"
"1122";"IV2019103117514907";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1123";"IV2019103117514907";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"90";"Percentage";NA;"%"
"1124";"IV2019103117514907";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1125";"IV2019103117565176";"Structuur";"verticale structuur";"bedekking helofyten";"45";"Percentage";NA;"%"
"1126";"IV2019103117565176";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1127";"IV2019103117565176";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"1";"Percentage";NA;"%"
"1128";"IV2019103118004579";"Structuur";"verticale structuur";"bedekking helofyten";"15";"Percentage";NA;"%"
"1129";"IV2019103118004579";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"1130";"IV2019103118004579";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1131";"IV2019103119232102";"Structuur";"verticale structuur";"bedekking helofyten";"15";"Percentage";NA;"%"
"1132";"IV2019103119232102";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"6";"Percentage";NA;"%"
"1133";"IV2019103119232102";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1134";"IV2019103119284977";"Structuur";"verticale structuur";"bedekking helofyten";"2";"Percentage";NA;"%"
"1135";"IV2019103119284977";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"1136";"IV2019103119284977";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1137";"IV2019103119284977";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"1138";"IV2019103119325130";"Structuur";"verticale structuur";"bedekking helofyten";"50";"Percentage";NA;"%"
"1139";"IV2019103119325130";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"1140";"IV2019103119325130";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1141";"IV2019103119325130";"Verstoring";"verzuring";"bedekking verzuring";"98";"Percentage";NA;"%"
"1142";"IV2019103119372507";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"8";"Percentage";NA;"%"
"1143";"IV2019103119372507";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1144";"IV2019103119372507";"Verstoring";"verzuring";"bedekking verzuring";"7";"Percentage";NA;"%"
"1145";"IV2019103119474811";"Structuur";"verticale structuur";"bedekking helofyten";"2";"Percentage";NA;"%"
"1146";"IV2019103119474811";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"1147";"IV2019103119474811";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1148";"IV2019103119474811";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"1149";"IV2019103119511590";"Structuur";"verticale structuur";"bedekking helofyten";"2";"Percentage";NA;"%"
"1150";"IV2019103119511590";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"1151";"IV2019103119511590";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1152";"IV2019103119582918";"Structuur";"verticale structuur";"bedekking helofyten";"13";"Percentage";NA;"%"
"1153";"IV2019103119582918";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"12";"Percentage";NA;"%"
"1154";"IV2019103119582918";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1155";"IV2019103119582918";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1156";"IV2019110508094879";"Structuur";"verticale structuur";"bedekking helofyten";"55";"Percentage";NA;"%"
"1157";"IV2019110508094879";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"10";"Percentage";NA;"%"
"1158";"IV2019110508094879";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1159";"IV2019110508094879";"Verstoring";"verzuring";"bedekking verzuring";"10";"Percentage";NA;"%"
"1160";"IV2019110508240678";"Structuur";"verticale structuur";"bedekking helofyten";"15";"Percentage";NA;"%"
"1161";"IV2019110508240678";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"95";"Percentage";NA;"%"
"1162";"IV2019110508240678";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1163";"IV2019110508240678";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1164";"IV2019110508292047";"Structuur";"verticale structuur";"bedekking helofyten";"85";"Percentage";NA;"%"
"1165";"IV2019110508292047";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"1166";"IV2019110508292047";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1167";"IV2019110508292047";"Verstoring";"verzuring";"bedekking verzuring";"60";"Percentage";NA;"%"
"1168";"IV2019110508334755";"Structuur";"verticale structuur";"bedekking helofyten";"85";"Percentage";NA;"%"
"1169";"IV2019110508334755";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"1170";"IV2019110508334755";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1171";"IV2019110508420118";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"35";"Percentage";NA;"%"
"1172";"IV2019110508420118";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1173";"IV2019110508420118";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1174";"IV2019110508522557";"Structuur";"verticale structuur";"bedekking helofyten";"75";"Percentage";NA;"%"
"1175";"IV2019110508522557";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"50";"Percentage";NA;"%"
"1176";"IV2019110508522557";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1177";"IV2019110508522557";"Verstoring";"verzuring";"bedekking verzuring";"60";"Percentage";NA;"%"
"1178";"IV2019110509594859";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"45";"Percentage";NA;"%"
"1179";"IV2019110509594859";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1180";"IV2019110509594859";"Verstoring";"verzuring";"bedekking verzuring";"20";"Percentage";NA;"%"
"1181";"IV2019110510064438";"Structuur";"verticale structuur";"bedekking helofyten";"7";"Percentage";NA;"%"
"1182";"IV2019110510064438";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"30";"Percentage";NA;"%"
"1183";"IV2019110510064438";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1184";"IV2019110510064438";"Verstoring";"verzuring";"bedekking verzuring";"30";"Percentage";NA;"%"
"1185";"IV2019110510125707";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1186";"IV2019110510125707";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1187";"IV2019110510125707";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"10";"Percentage";NA;"%"
"1188";"IV2019110510125707";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"1189";"IV2019110510174735";"Structuur";"verticale structuur";"bedekking helofyten";"66";"Percentage";NA;"%"
"1190";"IV2019110510174735";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"60";"Percentage";NA;"%"
"1191";"IV2019110510174735";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"7";"Percentage";NA;"%"
"1192";"IV2019110510174735";"Verstoring";"verzuring";"bedekking verzuring";"35";"Percentage";NA;"%"
"1193";"IV2019110513274182";"Structuur";"verticale structuur";"bedekking helofyten";"30";"Percentage";NA;"%"
"1194";"IV2019110513274182";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"30";"Percentage";NA;"%"
"1195";"IV2019110513274182";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1196";"IV2019110513274182";"Verstoring";"verzuring";"bedekking verzuring";"35";"Percentage";NA;"%"
"1197";"IV2019110513325514";"Structuur";"verticale structuur";"bedekking helofyten";"20";"Percentage";NA;"%"
"1198";"IV2019110513325514";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"15";"Percentage";NA;"%"
"1199";"IV2019110513325514";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1200";"IV2019110513370240";"Structuur";"verticale structuur";"bedekking helofyten";"2";"Percentage";NA;"%"
"1201";"IV2019110513370240";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"1202";"IV2019110513370240";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1203";"IV2019110513444368";"Structuur";"verticale structuur";"bedekking helofyten";"5";"Percentage";NA;"%"
"1204";"IV2019110513444368";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"95";"Percentage";NA;"%"
"1205";"IV2019110513444368";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"5";"Percentage";NA;"%"
"1206";"IV2019110513521363";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"15";"Percentage";NA;"%"
"1207";"IV2019110513521363";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1208";"IV2019110513521363";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"5";"Percentage";NA;"%"
"1209";"IV2019110513521363";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"1210";"IV2019110513593676";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"1";"Percentage";NA;"%"
"1211";"IV2019110513593676";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"3";"Percentage";NA;"%"
"1212";"IV2019110513593676";"Structuur";"verticale structuur";"% begroeid met opgaande vegetatie";"2";"Percentage";NA;"%"
"1213";"IV2019110513593676";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
"1214";"IV2019110514072203";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1215";"IV2019110514072203";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1216";"IV2019110514072203";"Verstoring";"verzuring";"bedekking verzuring";"3";"Percentage";NA;"%"
"1217";"IV2019110514235553";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"7";"Percentage";NA;"%"
"1218";"IV2019110514235553";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1219";"IV2019110514235553";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1220";"IV2019110514294765";"Structuur";"verticale structuur";"bedekking helofyten";"1";"Percentage";NA;"%"
"1221";"IV2019110514294765";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"40";"Percentage";NA;"%"
"1222";"IV2019110514294765";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1223";"IV2019110514294765";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1224";"IV2019110514345308";"Structuur";"verticale structuur";"bedekking helofyten";"1";"Percentage";NA;"%"
"1225";"IV2019110514345308";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"40";"Percentage";NA;"%"
"1226";"IV2019110514345308";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1227";"IV2019110514561774";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"1228";"IV2019110514561774";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1229";"IV2019110514561774";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"1230";"IV2019110515035863";"Structuur";"verticale structuur";"bedekking helofyten";"85";"Percentage";NA;"%"
"1231";"IV2019110515035863";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"60";"Percentage";NA;"%"
"1232";"IV2019110515035863";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1233";"IV2019110515035863";"Verstoring";"verzuring";"bedekking verzuring";"75";"Percentage";NA;"%"
"1234";"IV2019110515092969";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"27";"Percentage";NA;"%"
"1235";"IV2019110515092969";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1236";"IV2019110515092969";"Verstoring";"verzuring";"bedekking verzuring";"30";"Percentage";NA;"%"
"1237";"IV2019110515122209";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"33";"Percentage";NA;"%"
"1238";"IV2019110515122209";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1239";"IV2019110515122209";"Verstoring";"verzuring";"bedekking verzuring";"1";"Percentage";NA;"%"
"1240";"IV2019110515255900";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"30";"Percentage";NA;"%"
"1241";"IV2019110515255900";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1242";"IV2019110515255900";"Verstoring";"verzuring";"bedekking verzuring";"30";"Percentage";NA;"%"
"1243";"IV2019110515295694";"Structuur";"verticale structuur";"bedekking helofyten";"1";"Percentage";NA;"%"
"1244";"IV2019110515295694";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1245";"IV2019110515295694";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0.5";"Percentage";NA;"%"
"1246";"IV2019111308021358";"Structuur";"verticale structuur";"bedekking helofyten";"10";"Percentage";NA;"%"
"1247";"IV2019111308021358";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"85";"Percentage";NA;"%"
"1248";"IV2019111308021358";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"15";"Percentage";NA;"%"
"1249";"IV2019111308091798";"Structuur";"verticale structuur";"bedekking helofyten";"1";"Percentage";NA;"%"
"1250";"IV2019111308091798";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"60";"Percentage";NA;"%"
"1251";"IV2019111308091798";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1252";"IV2019111308155779";"Structuur";"verticale structuur";"bedekking helofyten";"15";"Percentage";NA;"%"
"1253";"IV2019111308155779";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"30";"Percentage";NA;"%"
"1254";"IV2019111308155779";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1255";"IV2019111308214272";"Structuur";"verticale structuur";"bedekking helofyten";"10";"Percentage";NA;"%"
"1256";"IV2019111308214272";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"5";"Percentage";NA;"%"
"1257";"IV2019111308214272";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"50";"Percentage";NA;"%"
"1258";"IV2019111308261548";"Structuur";"verticale structuur";"bedekking helofyten";"40";"Percentage";NA;"%"
"1259";"IV2019111308261548";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"2";"Percentage";NA;"%"
"1260";"IV2019111308261548";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1261";"IV2019111308423568";"Structuur";"verticale structuur";"bedekking helofyten";"50";"Percentage";NA;"%"
"1262";"IV2019111308423568";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0.5";"Percentage";NA;"%"
"1263";"IV2019111308423568";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1264";"IV2019111308423568";"Verstoring";"verzuring";"bedekking verzuring";"0.5";"Percentage";NA;"%"
"1265";"IV2019111308550924";"Structuur";"verticale structuur";"bedekking helofyten";"15";"Percentage";NA;"%"
"1266";"IV2019111308550924";"Verstoring";"eutrofiëring";"bedekking eutrofiëring";"0";"Percentage";NA;"%"
"1267";"IV2019111308550924";"Verstoring";"invasieve exoten";"bedekking invasieve exoten";"0";"Percentage";NA;"%"
"1268";"IV2019111308550924";"Verstoring";"verzuring";"bedekking verzuring";"0";"Percentage";NA;"%"
