"";"survey";"recording_givid";"user_reference";"var_code";"var";"value";"value_description";"value_numeric";"is_below_LOQ";"is_above_LOQ";"is_numeric";"unit"
"1686";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119232102";"AN_BAV_002_3150_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1687";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119284977";"AN_ELS_001_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1688";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119284977";"AN_ELS_001_3130a_19";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"1689";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119284977";"AN_ELS_001_3130a_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1690";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119284977";"AN_ELS_001_3130a_19";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1691";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119284977";"AN_ELS_001_3130a_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1692";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119284977";"AN_ELS_001_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1693";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119325130";"AN_ELS_002_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1694";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119325130";"AN_ELS_002_3130a_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1695";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119325130";"AN_ELS_002_3130a_19";"boom";"boom";"2xho";"< 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1696";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119325130";"AN_ELS_002_3130a_19";"horst";"horizontalestructuur";"1m2";"<= 1m²";NA;FALSE;FALSE;FALSE;"class"
"1697";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119325130";"AN_ELS_002_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1698";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119372507";"AN_GSV_007_3160_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1699";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119372507";"AN_GSV_007_3160_19";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"1700";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119372507";"AN_GSV_007_3160_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1701";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119372507";"AN_GSV_007_3160_19";"7140o";"rechtstreeks contact 7140_oli (3160)";"nee";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"1702";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119372507";"AN_GSV_007_3160_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1703";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119474811";"AN_KDN_005_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1704";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119474811";"AN_KDN_005_3130a_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1705";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119474811";"AN_KDN_005_3130a_19";"helde";"helderheid";"trand";"Troebel anders";NA;FALSE;FALSE;FALSE;"class"
"1706";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119474811";"AN_KDN_005_3130a_19";"boom";"boom";"booev";"bomen tot op de oever";NA;FALSE;FALSE;FALSE;"class"
"1707";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119474811";"AN_KDN_005_3130a_19";"horst";"horizontalestructuur";"1m2";"<= 1m²";NA;FALSE;FALSE;FALSE;"class"
"1708";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119474811";"AN_KDN_005_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1709";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119511590";"AN_KDN_005_3140_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1710";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119511590";"AN_KDN_005_3140_19";"helde";"helderheid";"trand";"Troebel anders";NA;FALSE;FALSE;FALSE;"class"
"1711";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119511590";"AN_KDN_005_3140_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1712";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119511590";"AN_KDN_005_3140_19";"chara";"chara";"49ss";"< 50% bestaat uit sleutelsoorten";NA;FALSE;FALSE;FALSE;"class"
"1713";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119511590";"AN_KDN_005_3140_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1714";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119511590";"AN_KDN_005_3140_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1715";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119582918";"AN_KSV_006_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1716";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119582918";"AN_KSV_006_3130a_19";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"1717";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119582918";"AN_KSV_006_3130a_19";"boom";"boom";"booev";"bomen tot op de oever";NA;FALSE;FALSE;FALSE;"class"
"1718";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119582918";"AN_KSV_006_3130a_19";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"1719";"HT31xx_LSVI_StilstaandeWateren";"IV2019103119582918";"AN_KSV_006_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1720";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508094879";"AN_KVD_002_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1721";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508094879";"AN_KVD_002_3130a_19";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"1722";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508094879";"AN_KVD_002_3130a_19";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"1723";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508094879";"AN_KVD_002_3130a_19";"boom";"boom";"booev";"bomen tot op de oever";NA;FALSE;FALSE;FALSE;"class"
"1724";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508094879";"AN_KVD_002_3130a_19";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"1725";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508094879";"AN_KVD_002_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1726";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508240678";"AN_LIL_002_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1727";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508240678";"AN_LIL_002_3130a_19";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"1728";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508240678";"AN_LIL_002_3130a_19";"boom";"boom";"2xho";"< 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1729";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508240678";"AN_LIL_002_3130a_19";"horst";"horizontalestructuur";"1m2";"<= 1m²";NA;FALSE;FALSE;FALSE;"class"
"1730";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508240678";"AN_LIL_002_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1731";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508292047";"AN_LIL_004_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1732";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508292047";"AN_LIL_004_3130a_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1733";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508292047";"AN_LIL_004_3130a_19";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1734";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508292047";"AN_LIL_004_3130a_19";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"1735";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508292047";"AN_LIL_004_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1736";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508334755";"AN_LIL_004_3140_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1737";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508334755";"AN_LIL_004_3140_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1738";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508334755";"AN_LIL_004_3140_19";"chara";"chara";"51ss";"> 50% bestaat uit sleutelsoorten";NA;FALSE;FALSE;FALSE;"class"
"1739";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508334755";"AN_LIL_004_3140_19";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"1740";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508334755";"AN_LIL_004_3140_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1741";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508420118";"AN_NOL_003_3160_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1742";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508420118";"AN_NOL_003_3160_19";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"1743";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508420118";"AN_NOL_003_3160_19";"7140o";"rechtstreeks contact 7140_oli (3160)";"ja";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"1744";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508420118";"AN_NOL_003_3160_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1745";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508472188";"AN_OLB_003_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1746";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508472188";"AN_OLB_003_3130a_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1747";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508472188";"AN_OLB_003_3130a_19";"boom";"boom";"2xho";"< 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1748";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508472188";"AN_OLB_003_3130a_19";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"1749";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508472188";"AN_OLB_003_3130a_19";"peil";"peil";"droog";"Droogstaand (groot deel)";NA;FALSE;FALSE;FALSE;"class"
"1750";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508522557";"AN_RAV_004_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1751";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508522557";"AN_RAV_004_3130a_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1752";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508522557";"AN_RAV_004_3130a_19";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"1753";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508522557";"AN_RAV_004_3130a_19";"boom";"boom";"2xho";"< 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1754";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508522557";"AN_RAV_004_3130a_19";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"1755";"HT31xx_LSVI_StilstaandeWateren";"IV2019110508522557";"AN_RAV_004_3130a_19";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"1756";"HT31xx_LSVI_StilstaandeWateren";"IV2019110509594859";"AN_RAV_004_3160_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1757";"HT31xx_LSVI_StilstaandeWateren";"IV2019110509594859";"AN_RAV_004_3160_19";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"1758";"HT31xx_LSVI_StilstaandeWateren";"IV2019110509594859";"AN_RAV_004_3160_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1759";"HT31xx_LSVI_StilstaandeWateren";"IV2019110509594859";"AN_RAV_004_3160_19";"7140o";"rechtstreeks contact 7140_oli (3160)";"nee";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"1760";"HT31xx_LSVI_StilstaandeWateren";"IV2019110509594859";"AN_RAV_004_3160_19";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"1761";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510064438";"AN_TIE_006_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1762";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510064438";"AN_TIE_006_3130a_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1763";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510064438";"AN_TIE_006_3130a_19";"boom";"boom";"2xho";"< 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1764";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510064438";"AN_TIE_006_3130a_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1765";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510064438";"AN_TIE_006_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1766";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510125707";"AN_VVM_005_3130n_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1767";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510125707";"AN_VVM_005_3130n_19";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"1768";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510125707";"AN_VVM_005_3130n_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1769";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510125707";"AN_VVM_005_3130n_19";"horst";"horizontalestructuur";"1m2";"<= 1m²";NA;FALSE;FALSE;FALSE;"class"
"1770";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510125707";"AN_VVM_005_3130n_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1771";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510174735";"AN_VVM_006_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1772";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510174735";"AN_VVM_006_3130a_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1773";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510174735";"AN_VVM_006_3130a_19";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1774";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510174735";"AN_VVM_006_3130a_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1775";"HT31xx_LSVI_StilstaandeWateren";"IV2019110510174735";"AN_VVM_006_3130a_19";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"1776";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513274182";"LI_ASP_002_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1777";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513274182";"LI_ASP_002_3130a_19";"helde";"helderheid";"humuz";"Gekleurd door humuszuren";NA;FALSE;FALSE;FALSE;"class"
"1778";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513274182";"LI_ASP_002_3130a_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1779";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513274182";"LI_ASP_002_3130a_19";"boom";"boom";"2xho";"< 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1780";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513274182";"LI_ASP_002_3130a_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1781";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513274182";"LI_ASP_002_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1782";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513325514";"LI_HAL_003_3150_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1783";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513325514";"LI_HAL_003_3150_19";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"1784";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513325514";"LI_HAL_003_3150_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1785";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513325514";"LI_HAL_003_3150_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1786";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513370240";"LI_MAA_002_3150_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1787";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513370240";"LI_MAA_002_3150_19";"helde";"helderheid";"fytog";"Gekleurd door fytoplankton - groen";NA;FALSE;FALSE;FALSE;"class"
"1788";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513370240";"LI_MAA_002_3150_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1789";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513370240";"LI_MAA_002_3150_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1790";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513444368";"LI_MAA_003_3150_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1791";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513444368";"LI_MAA_003_3150_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1792";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513444368";"LI_MAA_003_3150_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1793";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513444368";"LI_MAA_003_3150_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1794";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513521363";"LI_MLV_022_3130n_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1795";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513521363";"LI_MLV_022_3130n_19";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"1796";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513521363";"LI_MLV_022_3130n_19";"horst";"horizontalestructuur";"10m2";"> 1m& - < 10m²";NA;FALSE;FALSE;FALSE;"class"
"1797";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513521363";"LI_MLV_022_3130n_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1798";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513593676";"LI_SAH_001_3130n_18";"diept";"diepteklasse";"4-6m";">= 4m - < 6m";NA;FALSE;FALSE;FALSE;"class"
"1799";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513593676";"LI_SAH_001_3130n_18";"helde";"helderheid";"fytog";"Gekleurd door fytoplankton - groen";NA;FALSE;FALSE;FALSE;"class"
"1800";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513593676";"LI_SAH_001_3130n_18";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1801";"HT31xx_LSVI_StilstaandeWateren";"IV2019110513593676";"LI_SAH_001_3130n_18";"peil";"peil";"ulaag";"Uitzonderlijk laag";NA;FALSE;FALSE;FALSE;"class"
"1802";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514072203";"LI_TEU_003_3110_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1803";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514072203";"LI_TEU_003_3110_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1804";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514072203";"LI_TEU_003_3110_19";"boom";"boom";"m2xho";">= 2x hoogte van bomen";NA;FALSE;FALSE;FALSE;"class"
"1805";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514072203";"LI_TEU_003_3110_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1806";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514072203";"LI_TEU_003_3110_19";"verst";"vertikalestructuur";"kisoe";"aandeel Isoe <= aandeel andere groeiv (3110)";NA;FALSE;FALSE;FALSE;"class"
"1807";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514072203";"LI_TEU_003_3110_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1808";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514235553";"LI_TEU_003_3160_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1809";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514235553";"LI_TEU_003_3160_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1810";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514235553";"LI_TEU_003_3160_19";"7140o";"rechtstreeks contact 7140_oli (3160)";"ja";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
"1811";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514235553";"LI_TEU_003_3160_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1812";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514294765";"LI_TEU_006_3130a_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1813";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514294765";"LI_TEU_006_3130a_19";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"1814";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514294765";"LI_TEU_006_3130a_19";"boom";"boom";"booev";"bomen tot op de oever";NA;FALSE;FALSE;FALSE;"class"
"1815";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514294765";"LI_TEU_006_3130a_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1816";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514294765";"LI_TEU_006_3130a_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1817";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514345308";"LI_TEU_006_3140_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1818";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514345308";"LI_TEU_006_3140_19";"helde";"helderheid";"trsub";"Troebel door substraat";NA;FALSE;FALSE;FALSE;"class"
"1819";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514345308";"LI_TEU_006_3140_19";"chara";"chara";"51ss";"> 50% bestaat uit sleutelsoorten";NA;FALSE;FALSE;FALSE;"class"
"1820";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514345308";"LI_TEU_006_3140_19";"horst";"horizontalestructuur";"g10m²";">= 10m²";NA;FALSE;FALSE;FALSE;"class"
"1821";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514345308";"LI_TEU_006_3140_19";"peil";"peil";"norm";"Normaal";NA;FALSE;FALSE;FALSE;"class"
"1822";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514561774";"LI_TEU_007_3160_19";"diept";"diepteklasse";"0-2m";"0 - < 2m";NA;FALSE;FALSE;FALSE;"class"
"1823";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514561774";"LI_TEU_007_3160_19";"helde";"helderheid";"bozi";"Bodemzicht";NA;FALSE;FALSE;FALSE;"class"
"1824";"HT31xx_LSVI_StilstaandeWateren";"IV2019110514561774";"LI_TEU_007_3160_19";"7140o";"rechtstreeks contact 7140_oli (3160)";"ja";"rechtstreeks contact 7140_oli (3160)";NA;FALSE;FALSE;FALSE;"class"
